C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4005_20190101_20190131.csv
C,Time period: 2019-01-01 to 2019-01-31
C,Location/Node: .Z.RHODEISLAND
C,Report generated 2020-05-10 09:31:18 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2019-01-01,01,628.4,723.3
D,2019-01-01,02,626.5,688.8
D,2019-01-01,03,597.5,660.2
D,2019-01-01,04,581.4,642.8
D,2019-01-01,05,630.6,638.4
D,2019-01-01,06,662.4,646.1
D,2019-01-01,07,649.3,666.2
D,2019-01-01,08,668.3,675.2
D,2019-01-01,09,700.2,698.6
D,2019-01-01,10,789.0,741.1
D,2019-01-01,11,813.4,778.9
D,2019-01-01,12,829.3,786.4
D,2019-01-01,13,822.2,774.2
D,2019-01-01,14,816.8,777.4
D,2019-01-01,15,811.2,786.3
D,2019-01-01,16,832.8,805.5
D,2019-01-01,17,896.0,880.0
D,2019-01-01,18,952.5,951.7
D,2019-01-01,19,946.2,944.2
D,2019-01-01,20,926.6,923.5
D,2019-01-01,21,884.0,886.6
D,2019-01-01,22,831.9,838.3
D,2019-01-01,23,763.0,769.3
D,2019-01-01,24,710.5,723.7
D,2019-01-02,01,694.1,679.5
D,2019-01-02,02,678.4,670.5
D,2019-01-02,03,663.5,666.3
D,2019-01-02,04,671.5,672.7
D,2019-01-02,05,692.9,690.4
D,2019-01-02,06,763.1,750.2
D,2019-01-02,07,921.3,858.0
D,2019-01-02,08,959.2,923.1
D,2019-01-02,09,984.8,940.3
D,2019-01-02,10,986.5,944.5
D,2019-01-02,11,944.2,948.1
D,2019-01-02,12,973.7,944.9
D,2019-01-02,13,962.0,937.4
D,2019-01-02,14,958.9,938.6
D,2019-01-02,15,969.4,945.9
D,2019-01-02,16,967.4,969.1
D,2019-01-02,17,1073.8,1029.8
D,2019-01-02,18,1209.7,1087.9
D,2019-01-02,19,1156.4,1081.5
D,2019-01-02,20,1121.0,1057.4
D,2019-01-02,21,1063.7,1011.2
D,2019-01-02,22,990.6,945.3
D,2019-01-02,23,891.0,872.1
D,2019-01-02,24,821.4,800.3
D,2019-01-03,01,726.7,750.1
D,2019-01-03,02,759.2,716.2
D,2019-01-03,03,727.9,702.2
D,2019-01-03,04,723.2,698.6
D,2019-01-03,05,701.0,715.3
D,2019-01-03,06,704.6,766.3
D,2019-01-03,07,853.7,865.2
D,2019-01-03,08,915.6,928.7
D,2019-01-03,09,949.2,949.9
D,2019-01-03,10,936.4,954.3
D,2019-01-03,11,910.3,948.9
D,2019-01-03,12,915.9,933.6
D,2019-01-03,13,936.3,919.5
D,2019-01-03,14,905.3,904.9
D,2019-01-03,15,882.4,907.9
D,2019-01-03,16,914.9,924.2
D,2019-01-03,17,959.7,977.6
D,2019-01-03,18,1088.2,1044.9
D,2019-01-03,19,985.1,1045.0
D,2019-01-03,20,966.3,1021.9
D,2019-01-03,21,931.4,982.5
D,2019-01-03,22,875.6,928.7
D,2019-01-03,23,790.5,851.7
D,2019-01-03,24,710.8,779.2
D,2019-01-04,01,726.7,726.7
D,2019-01-04,02,762.7,700.8
D,2019-01-04,03,694.0,689.0
D,2019-01-04,04,693.1,687.5
D,2019-01-04,05,708.1,702.9
D,2019-01-04,06,748.9,760.5
D,2019-01-04,07,904.4,859.2
D,2019-01-04,08,976.5,922.1
D,2019-01-04,09,958.5,930.1
D,2019-01-04,10,929.5,925.2
D,2019-01-04,11,919.3,926.7
D,2019-01-04,12,884.1,921.3
D,2019-01-04,13,903.8,912.3
D,2019-01-04,14,894.7,906.3
D,2019-01-04,15,890.1,912.0
D,2019-01-04,16,901.6,921.5
D,2019-01-04,17,961.1,975.6
D,2019-01-04,18,1007.5,1017.5
D,2019-01-04,19,953.1,1004.9
D,2019-01-04,20,936.7,975.5
D,2019-01-04,21,893.5,939.1
D,2019-01-04,22,851.5,889.0
D,2019-01-04,23,764.3,831.2
D,2019-01-04,24,695.1,761.6
D,2019-01-05,01,650.7,708.8
D,2019-01-05,02,584.1,684.1
D,2019-01-05,03,590.6,666.5
D,2019-01-05,04,582.4,658.8
D,2019-01-05,05,589.0,660.2
D,2019-01-05,06,642.3,681.8
D,2019-01-05,07,641.2,725.4
D,2019-01-05,08,721.5,768.7
D,2019-01-05,09,848.4,808.4
D,2019-01-05,10,868.8,858.6
D,2019-01-05,11,861.7,890.1
D,2019-01-05,12,912.0,901.9
D,2019-01-05,13,903.8,908.6
D,2019-01-05,14,887.4,906.8
D,2019-01-05,15,881.2,907.3
D,2019-01-05,16,867.4,916.3
D,2019-01-05,17,884.7,964.6
D,2019-01-05,18,932.3,989.8
D,2019-01-05,19,911.2,972.3
D,2019-01-05,20,887.1,939.5
D,2019-01-05,21,880.1,904.7
D,2019-01-05,22,795.6,862.6
D,2019-01-05,23,741.3,805.9
D,2019-01-05,24,668.7,763.1
D,2019-01-06,01,646.5,716.5
D,2019-01-06,02,623.4,688.9
D,2019-01-06,03,591.3,674.0
D,2019-01-06,04,583.4,668.6
D,2019-01-06,05,607.0,671.5
D,2019-01-06,06,606.4,687.4
D,2019-01-06,07,646.8,719.8
D,2019-01-06,08,705.2,749.3
D,2019-01-06,09,743.9,787.2
D,2019-01-06,10,770.0,815.2
D,2019-01-06,11,786.6,840.3
D,2019-01-06,12,791.2,845.0
D,2019-01-06,13,799.6,859.3
D,2019-01-06,14,785.8,851.7
D,2019-01-06,15,783.5,856.9
D,2019-01-06,16,800.7,873.2
D,2019-01-06,17,940.2,942.4
D,2019-01-06,18,1007.0,1009.8
D,2019-01-06,19,954.7,1009.5
D,2019-01-06,20,928.9,987.5
D,2019-01-06,21,928.8,961.7
D,2019-01-06,22,873.1,909.9
D,2019-01-06,23,811.3,848.6
D,2019-01-06,24,741.5,789.3
D,2019-01-07,01,730.8,752.4
D,2019-01-07,02,723.2,735.5
D,2019-01-07,03,720.7,730.7
D,2019-01-07,04,728.3,736.8
D,2019-01-07,05,747.4,762.3
D,2019-01-07,06,809.3,822.4
D,2019-01-07,07,985.6,936.8
D,2019-01-07,08,1061.2,999.9
D,2019-01-07,09,1051.1,1019.9
D,2019-01-07,10,1088.0,1013.7
D,2019-01-07,11,1095.5,1008.5
D,2019-01-07,12,1071.7,999.0
D,2019-01-07,13,1031.0,988.8
D,2019-01-07,14,1064.7,997.0
D,2019-01-07,15,1055.2,995.6
D,2019-01-07,16,1022.5,1009.8
D,2019-01-07,17,1122.3,1065.9
D,2019-01-07,18,1193.9,1124.8
D,2019-01-07,19,1123.8,1125.8
D,2019-01-07,20,1098.1,1094.3
D,2019-01-07,21,1081.4,1045.5
D,2019-01-07,22,955.9,977.4
D,2019-01-07,23,852.3,905.1
D,2019-01-07,24,784.8,831.3
D,2019-01-08,01,759.4,778.2
D,2019-01-08,02,756.3,750.2
D,2019-01-08,03,730.1,735.7
D,2019-01-08,04,732.7,732.0
D,2019-01-08,05,747.1,754.7
D,2019-01-08,06,789.8,802.8
D,2019-01-08,07,873.3,900.3
D,2019-01-08,08,951.1,961.7
D,2019-01-08,09,985.5,977.3
D,2019-01-08,10,938.0,994.5
D,2019-01-08,11,931.7,1003.9
D,2019-01-08,12,922.0,1000.7
D,2019-01-08,13,925.1,997.4
D,2019-01-08,14,940.9,992.1
D,2019-01-08,15,910.4,984.4
D,2019-01-08,16,938.8,986.2
D,2019-01-08,17,1025.3,1019.1
D,2019-01-08,18,1069.9,1058.1
D,2019-01-08,19,1034.4,1046.4
D,2019-01-08,20,1017.4,1012.1
D,2019-01-08,21,958.6,968.1
D,2019-01-08,22,860.9,907.3
D,2019-01-08,23,721.3,819.2
D,2019-01-08,24,692.4,759.2
D,2019-01-09,01,728.5,707.5
D,2019-01-09,02,693.3,683.1
D,2019-01-09,03,692.4,673.3
D,2019-01-09,04,686.3,666.1
D,2019-01-09,05,611.0,689.6
D,2019-01-09,06,713.2,743.4
D,2019-01-09,07,903.4,842.2
D,2019-01-09,08,949.2,894.7
D,2019-01-09,09,897.1,906.4
D,2019-01-09,10,853.2,920.4
D,2019-01-09,11,964.9,919.4
D,2019-01-09,12,952.5,925.1
D,2019-01-09,13,935.4,937.5
D,2019-01-09,14,940.3,941.1
D,2019-01-09,15,934.5,939.2
D,2019-01-09,16,918.4,941.9
D,2019-01-09,17,1017.7,989.2
D,2019-01-09,18,1062.5,1057.7
D,2019-01-09,19,1051.7,1053.4
D,2019-01-09,20,1032.4,1028.4
D,2019-01-09,21,1021.1,986.2
D,2019-01-09,22,967.7,931.4
D,2019-01-09,23,846.9,854.1
D,2019-01-09,24,728.5,789.4
D,2019-01-10,01,718.3,739.7
D,2019-01-10,02,727.2,715.6
D,2019-01-10,03,725.4,700.4
D,2019-01-10,04,726.3,702.3
D,2019-01-10,05,749.3,719.9
D,2019-01-10,06,772.0,773.4
D,2019-01-10,07,931.2,883.3
D,2019-01-10,08,997.0,938.0
D,2019-01-10,09,972.4,950.8
D,2019-01-10,10,984.8,961.0
D,2019-01-10,11,1013.0,974.8
D,2019-01-10,12,1007.3,980.8
D,2019-01-10,13,984.6,974.7
D,2019-01-10,14,972.4,981.3
D,2019-01-10,15,943.8,979.3
