C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4005_20190201_20190228.csv
C,Time period: 2019-02-01 to 2019-02-28
C,Location/Node: .Z.RHODEISLAND
C,Report generated 2020-05-10 09:31:48 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2019-02-01,01,960.1,931.2
D,2019-02-01,02,954.4,908.5
D,2019-02-01,03,939.5,897.4
D,2019-02-01,04,897.8,898.6
D,2019-02-01,05,913.9,921.8
D,2019-02-01,06,965.5,974.4
D,2019-02-01,07,1073.2,1072.5
D,2019-02-01,08,1153.8,1122.4
D,2019-02-01,09,1118.7,1125.6
D,2019-02-01,10,1098.5,1122.6
D,2019-02-01,11,1093.9,1118.4
D,2019-02-01,12,1083.0,1113.4
D,2019-02-01,13,1067.3,1097.6
D,2019-02-01,14,1054.1,1087.7
D,2019-02-01,15,1036.2,1070.0
D,2019-02-01,16,1052.5,1081.9
D,2019-02-01,17,1076.0,1102.9
D,2019-02-01,18,1162.3,1161.7
D,2019-02-01,19,1134.5,1169.6
D,2019-02-01,20,1128.2,1149.6
D,2019-02-01,21,1088.1,1113.2
D,2019-02-01,22,1050.4,1063.0
D,2019-02-01,23,996.6,1015.4
D,2019-02-01,24,916.2,952.0
D,2019-02-02,01,900.7,906.6
D,2019-02-02,02,864.9,883.4
D,2019-02-02,03,864.3,872.3
D,2019-02-02,04,863.4,869.7
D,2019-02-02,05,867.5,872.0
D,2019-02-02,06,894.8,885.1
D,2019-02-02,07,942.6,939.2
D,2019-02-02,08,1013.1,976.1
D,2019-02-02,09,1037.3,1009.0
D,2019-02-02,10,1019.1,1013.0
D,2019-02-02,11,1019.0,1011.6
D,2019-02-02,12,1019.7,1006.8
D,2019-02-02,13,990.5,992.3
D,2019-02-02,14,972.1,969.0
D,2019-02-02,15,956.0,971.2
D,2019-02-02,16,1007.6,971.6
D,2019-02-02,17,1029.5,1012.8
D,2019-02-02,18,1040.8,1069.1
D,2019-02-02,19,1087.9,1070.3
D,2019-02-02,20,1009.5,1040.0
D,2019-02-02,21,992.1,1008.7
D,2019-02-02,22,944.9,954.1
D,2019-02-02,23,891.3,898.7
D,2019-02-02,24,834.2,834.1
D,2019-02-03,01,777.7,783.2
D,2019-02-03,02,721.8,755.6
D,2019-02-03,03,752.2,738.1
D,2019-02-03,04,746.9,725.5
D,2019-02-03,05,750.8,727.6
D,2019-02-03,06,777.5,740.6
D,2019-02-03,07,813.1,766.5
D,2019-02-03,08,840.6,802.2
D,2019-02-03,09,872.3,856.1
D,2019-02-03,10,879.0,902.5
D,2019-02-03,11,884.1,931.4
D,2019-02-03,12,896.8,948.1
D,2019-02-03,13,892.2,953.0
D,2019-02-03,14,878.1,948.2
D,2019-02-03,15,853.4,923.5
D,2019-02-03,16,870.8,923.0
D,2019-02-03,17,938.0,967.1
D,2019-02-03,18,968.1,1033.7
D,2019-02-03,19,921.8,1003.1
