C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4005_20190501_20190531.csv
C,Time period: 2019-05-01 to 2019-05-31
C,Location/Node: .Z.RHODEISLAND
C,Report generated 2020-05-10 09:29:36 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2019-05-07,17,822.3,828.2
D,2019-05-07,18,827.5,826.6
D,2019-05-07,19,874.9,831.5
D,2019-05-07,20,873.0,849.8
D,2019-05-07,21,897.2,861.2
D,2019-05-07,22,817.4,807.8
D,2019-05-07,23,704.8,727.7
D,2019-05-07,24,627.0,662.6
D,2019-05-08,01,604.2,615.4
D,2019-05-08,02,526.0,589.7
D,2019-05-08,03,515.1,573.3
D,2019-05-08,04,512.3,570.2
D,2019-05-08,05,528.4,583.3
D,2019-05-08,06,569.7,625.1
D,2019-05-08,07,699.2,710.1
D,2019-05-08,08,775.7,775.2
D,2019-05-08,09,817.3,798.6
D,2019-05-08,10,848.7,813.9
D,2019-05-08,11,890.8,830.3
D,2019-05-08,12,877.5,841.1
D,2019-05-08,13,862.5,842.2
D,2019-05-08,14,843.8,845.2
D,2019-05-08,15,841.1,842.3
D,2019-05-08,16,833.1,833.2
D,2019-05-08,17,845.7,825.4
D,2019-05-08,18,872.7,826.8
D,2019-05-08,19,887.6,824.4
D,2019-05-08,20,884.5,833.6
D,2019-05-08,21,904.9,852.4
D,2019-05-08,22,855.4,805.1
D,2019-05-08,23,683.7,726.7
D,2019-05-08,24,610.1,659.1
D,2019-05-09,01,655.9,608.9
D,2019-05-09,02,629.6,584.3
D,2019-05-09,03,608.0,570.5
D,2019-05-09,04,609.9,571.4
D,2019-05-09,05,613.7,585.8
D,2019-05-09,06,666.4,632.9
D,2019-05-09,07,812.5,716.4
D,2019-05-09,08,856.5,780.4
D,2019-05-09,09,866.0,797.7
D,2019-05-09,10,861.7,810.9
D,2019-05-09,11,881.5,821.2
D,2019-05-09,12,882.9,826.3
D,2019-05-09,13,853.6,822.4
D,2019-05-09,14,824.3,822.9
D,2019-05-09,15,816.6,818.7
D,2019-05-09,16,829.4,808.8
D,2019-05-09,17,831.1,805.7
D,2019-05-09,18,857.8,814.8
D,2019-05-09,19,873.0,829.0
D,2019-05-09,20,910.3,846.5
D,2019-05-09,21,915.3,844.8
D,2019-05-09,22,867.0,793.5
D,2019-05-09,23,734.9,721.7
D,2019-05-09,24,652.5,652.9
D,2019-05-10,01,607.9,606.1
D,2019-05-10,02,525.0,582.3
D,2019-05-10,03,519.6,568.9
D,2019-05-10,04,539.6,567.8
D,2019-05-10,05,537.7,580.0
D,2019-05-10,06,636.3,625.3
D,2019-05-10,07,797.8,711.4
D,2019-05-10,08,959.2,784.4
D,2019-05-10,09,896.3,814.3
D,2019-05-10,10,910.1,838.2
D,2019-05-10,11,932.6,856.8
D,2019-05-10,12,918.3,870.5
D,2019-05-10,13,878.5,867.2
D,2019-05-10,14,879.4,869.5
D,2019-05-10,15,882.6,860.3
D,2019-05-10,16,870.7,849.1
D,2019-05-10,17,858.9,840.0
D,2019-05-10,18,843.8,840.4
D,2019-05-10,19,863.0,825.0
D,2019-05-10,20,858.4,822.5
D,2019-05-10,21,837.3,830.8
D,2019-05-10,22,827.8,796.2
D,2019-05-10,23,673.3,736.1
D,2019-05-10,24,635.0,674.6
D,2019-05-11,01,650.8,622.7
D,2019-05-11,02,585.8,599.2
D,2019-05-11,03,546.0,579.9
D,2019-05-11,04,563.3,567.3
D,2019-05-11,05,521.8,566.3
D,2019-05-11,06,564.1,579.4
D,2019-05-11,07,593.4,619.6
D,2019-05-11,08,645.5,667.2
D,2019-05-11,09,722.5,704.0
D,2019-05-11,10,753.7,731.0
D,2019-05-11,11,756.4,743.1
D,2019-05-11,12,778.7,744.2
D,2019-05-11,13,714.5,735.7
D,2019-05-11,14,706.7,732.9
D,2019-05-11,15,697.9,729.4
D,2019-05-11,16,710.3,727.7
D,2019-05-11,17,722.8,736.8
D,2019-05-11,18,723.1,750.3
D,2019-05-11,19,759.7,757.1
D,2019-05-11,20,774.5,760.1
D,2019-05-11,21,823.3,778.8
D,2019-05-11,22,783.6,751.4
D,2019-05-11,23,649.6,697.3
D,2019-05-11,24,613.4,645.5
D,2019-05-12,01,708.5,600.0
D,2019-05-12,02,529.9,568.4
D,2019-05-12,03,532.9,553.3
D,2019-05-12,04,480.1,545.3
D,2019-05-12,05,504.0,544.8
D,2019-05-12,06,618.4,547.5
D,2019-05-12,07,538.8,573.9
D,2019-05-12,08,636.9,618.6
D,2019-05-12,09,708.4,671.0
D,2019-05-12,10,738.0,728.1
D,2019-05-12,11,760.7,764.8
D,2019-05-12,12,823.1,774.0
D,2019-05-12,13,802.2,779.3
D,2019-05-12,14,801.4,782.6
D,2019-05-12,15,787.3,769.2
D,2019-05-12,16,784.0,769.3
D,2019-05-12,17,792.2,789.3
D,2019-05-12,18,836.3,806.4
D,2019-05-12,19,848.1,814.2
D,2019-05-12,20,886.1,823.9
D,2019-05-12,21,915.3,827.3
D,2019-05-12,22,854.0,777.6
D,2019-05-12,23,761.4,716.2
D,2019-05-12,24,640.5,655.9
D,2019-05-13,01,605.7,618.8
D,2019-05-13,02,558.6,593.8
D,2019-05-13,03,574.6,582.1
D,2019-05-13,04,552.8,586.2
D,2019-05-13,05,563.9,606.0
D,2019-05-13,06,617.7,653.2
D,2019-05-13,07,819.7,743.3
D,2019-05-13,08,914.4,809.0
D,2019-05-13,09,901.2,847.0
D,2019-05-13,10,907.2,858.2
D,2019-05-13,11,904.6,859.8
D,2019-05-13,12,903.9,866.6
D,2019-05-13,13,858.5,863.3
D,2019-05-13,14,854.7,875.8
D,2019-05-13,15,845.0,868.7
D,2019-05-13,16,846.5,869.9
D,2019-05-13,17,840.2,881.9
D,2019-05-13,18,891.3,904.1
D,2019-05-13,19,950.6,911.4
D,2019-05-13,20,960.8,907.1
D,2019-05-13,21,982.3,894.9
D,2019-05-13,22,919.4,840.3
D,2019-05-13,23,812.9,764.2
D,2019-05-13,24,678.3,700.5
D,2019-05-14,01,690.2,651.2
D,2019-05-14,02,656.4,628.6
D,2019-05-14,03,663.1,616.4
D,2019-05-14,04,652.2,620.3
D,2019-05-14,05,670.8,629.4
D,2019-05-14,06,718.8,671.6
D,2019-05-14,07,815.5,765.9
D,2019-05-14,08,964.2,834.6
D,2019-05-14,09,914.9,857.9
D,2019-05-14,10,924.0,877.4
D,2019-05-14,11,907.0,888.3
D,2019-05-14,12,930.6,894.1
D,2019-05-14,13,893.9,890.5
D,2019-05-14,14,878.2,889.9
D,2019-05-14,15,895.9,885.3
D,2019-05-14,16,921.2,883.7
D,2019-05-14,17,922.7,884.4
D,2019-05-14,18,966.4,899.7
D,2019-05-14,19,1006.0,905.0
D,2019-05-14,20,1026.0,904.9
D,2019-05-14,21,1065.8,903.3
D,2019-05-14,22,926.2,849.2
D,2019-05-14,23,819.1,771.5
D,2019-05-14,24,745.4,705.6
D,2019-05-15,01,675.0,655.9
D,2019-05-15,02,608.5,627.2
D,2019-05-15,03,584.8,615.5
D,2019-05-15,04,615.2,612.8
D,2019-05-15,05,634.8,626.9
D,2019-05-15,06,734.8,671.4
D,2019-05-15,07,897.1,763.5
D,2019-05-15,08,890.0,822.4
D,2019-05-15,09,831.4,837.2
D,2019-05-15,10,793.1,842.1
D,2019-05-15,11,785.3,852.6
D,2019-05-15,12,826.0,859.9
D,2019-05-15,13,792.3,851.7
D,2019-05-15,14,742.2,856.2
D,2019-05-15,15,781.1,845.4
D,2019-05-15,16,772.9,837.0
D,2019-05-15,17,777.8,834.3
D,2019-05-15,18,842.3,836.7
D,2019-05-15,19,882.7,837.2
D,2019-05-15,20,876.7,849.8
D,2019-05-15,21,872.5,869.5
D,2019-05-15,22,859.1,822.8
D,2019-05-15,23,664.5,743.0
D,2019-05-15,24,580.3,677.7
D,2019-05-16,01,653.0,625.1
D,2019-05-16,02,554.4,603.1
D,2019-05-16,03,522.0,590.9
D,2019-05-16,04,543.7,588.7
D,2019-05-16,05,555.7,604.6
D,2019-05-16,06,773.9,645.7
D,2019-05-16,07,882.8,733.9
D,2019-05-16,08,848.8,794.9
D,2019-05-16,09,823.4,816.6
D,2019-05-16,10,781.9,829.6
D,2019-05-16,11,759.4,845.9
D,2019-05-16,12,750.5,855.5
D,2019-05-16,13,764.3,855.1
D,2019-05-16,14,765.3,853.6
D,2019-05-16,15,760.5,849.7
D,2019-05-16,16,764.3,841.3
D,2019-05-16,17,756.6,845.6
D,2019-05-16,18,817.0,848.5
D,2019-05-16,19,853.4,844.6
D,2019-05-16,20,865.6,843.9
D,2019-05-16,21,896.4,857.6
D,2019-05-16,22,842.9,815.6
D,2019-05-16,23,687.9,738.9
D,2019-05-16,24,577.8,675.0
D,2019-05-17,01,651.4,624.4
D,2019-05-17,02,579.2,595.8
D,2019-05-17,03,567.4,581.8
D,2019-05-17,04,560.5,579.5
D,2019-05-17,05,563.2,590.3
D,2019-05-17,06,617.4,634.4
D,2019-05-17,07,748.4,718.1
D,2019-05-17,08,793.3,788.7
D,2019-05-17,09,862.4,821.9
D,2019-05-17,10,833.6,840.5
D,2019-05-17,11,877.4,856.4
D,2019-05-17,12,876.1,870.1
D,2019-05-17,13,858.1,863.3
D,2019-05-17,14,824.1,874.5
D,2019-05-17,15,823.6,869.2
D,2019-05-17,16,811.8,860.5
D,2019-05-17,17,781.6,860.6
D,2019-05-17,18,825.4,853.4
D,2019-05-17,19,852.5,834.8
D,2019-05-17,20,876.4,819.7
D,2019-05-17,21,874.9,823.2
D,2019-05-17,22,847.1,793.2
D,2019-05-17,23,718.2,738.6
D,2019-05-17,24,601.0,669.3
D,2019-05-18,01,642.6,623.9
D,2019-05-18,02,587.8,596.0
D,2019-05-18,03,570.3,574.8
D,2019-05-18,04,555.8,564.3
D,2019-05-18,05,602.7,565.9
D,2019-05-18,06,570.4,572.0
D,2019-05-18,07,605.9,614.8
D,2019-05-18,08,663.0,664.6
D,2019-05-18,09,759.9,703.7
D,2019-05-18,10,809.1,731.8
D,2019-05-18,11,764.4,744.5
D,2019-05-18,12,746.4,750.2
D,2019-05-18,13,707.5,748.9
D,2019-05-18,14,733.9,748.7
D,2019-05-18,15,683.3,737.7
D,2019-05-18,16,676.9,736.7
D,2019-05-18,17,740.8,751.7
D,2019-05-18,18,773.8,760.7
D,2019-05-18,19,765.5,760.0
D,2019-05-18,20,776.4,757.1
D,2019-05-18,21,833.5,771.0
D,2019-05-18,22,771.6,748.0
D,2019-05-18,23,694.6,702.4
D,2019-05-18,24,596.6,643.5
D,2019-05-19,01,602.2,592.0
D,2019-05-19,02,574.9,572.6
D,2019-05-19,03,552.0,551.7
D,2019-05-19,04,542.6,542.7
D,2019-05-19,05,541.0,543.6
D,2019-05-19,06,552.4,541.3
D,2019-05-19,07,550.5,569.0
D,2019-05-19,08,616.8,613.7
D,2019-05-19,09,676.8,660.6
D,2019-05-19,10,706.1,711.7
D,2019-05-19,11,733.1,744.3
D,2019-05-19,12,753.1,745.1
D,2019-05-19,13,741.4,753.9
D,2019-05-19,14,738.0,750.8
D,2019-05-19,15,747.1,743.5
D,2019-05-19,16,757.5,746.4
D,2019-05-19,17,763.9,761.2
D,2019-05-19,18,771.0,786.3
D,2019-05-19,19,790.7,802.8
D,2019-05-19,20,816.0,817.5
D,2019-05-19,21,842.9,817.6
D,2019-05-19,22,787.5,768.3
D,2019-05-19,23,704.4,705.2
D,2019-05-19,24,627.5,651.4
D,2019-05-20,01,597.1,613.9
D,2019-05-20,02,564.6,592.5
D,2019-05-20,03,547.9,582.5
D,2019-05-20,04,542.5,580.8
D,2019-05-20,05,559.2,585.4
D,2019-05-20,06,605.3,627.9
D,2019-05-20,07,696.2,717.8
D,2019-05-20,08,802.6,802.7
D,2019-05-20,09,854.4,841.3
D,2019-05-20,10,873.0,877.0
D,2019-05-20,11,905.2,906.7
D,2019-05-20,12,946.8,938.4
D,2019-05-20,13,966.3,954.7
D,2019-05-20,14,1017.9,975.8
D,2019-05-20,15,1026.7,986.3
D,2019-05-20,16,1028.5,995.9
D,2019-05-20,17,1021.4,996.8
D,2019-05-20,18,1024.8,997.6
D,2019-05-20,19,957.9,982.4
D,2019-05-20,20,1042.7,981.2
D,2019-05-20,21,1037.3,966.5
D,2019-05-20,22,974.7,913.2
D,2019-05-20,23,776.4,818.1
D,2019-05-20,24,785.1,741.2
D,2019-05-21,01,689.9,680.8
D,2019-05-21,02,692.1,635.0
D,2019-05-21,03,638.3,611.8
D,2019-05-21,04,612.9,598.8
D,2019-05-21,05,596.7,604.8
D,2019-05-21,06,613.5,634.6
D,2019-05-21,07,752.8,713.6
D,2019-05-21,08,779.6,784.1
D,2019-05-21,09,814.2,815.9
D,2019-05-21,10,829.1,828.6
D,2019-05-21,11,857.1,841.7
