C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4005_20190901_20190930.csv
C,Time period: 2019-09-01 to 2019-09-30
C,Location/Node: .Z.RHODEISLAND
C,Report generated 2020-05-10 09:33:28 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2019-09-01,01,757.5,732.9
D,2019-09-01,02,687.8,688.7
D,2019-09-01,03,651.4,662.7
D,2019-09-01,04,644.2,642.0
D,2019-09-01,05,594.3,634.1
D,2019-09-01,06,620.7,633.3
D,2019-09-01,07,619.6,644.2
D,2019-09-01,08,664.1,684.2
D,2019-09-01,09,711.5,748.1
D,2019-09-01,10,800.8,806.1
D,2019-09-01,11,841.4,850.9
D,2019-09-01,12,846.3,883.1
D,2019-09-01,13,921.9,910.3
D,2019-09-01,14,950.8,921.8
D,2019-09-01,15,945.6,933.8
D,2019-09-01,16,954.5,935.9
D,2019-09-01,17,962.3,938.7
D,2019-09-01,18,980.5,936.3
D,2019-09-01,19,938.6,924.4
D,2019-09-01,20,921.1,919.1
D,2019-09-01,21,959.4,909.5
D,2019-09-01,22,892.4,867.5
D,2019-09-01,23,780.5,816.9
D,2019-09-01,24,691.2,757.7
D,2019-09-02,01,666.1,709.8
D,2019-09-02,02,624.9,668.9
D,2019-09-02,03,602.5,654.2
D,2019-09-02,04,603.8,640.4
D,2019-09-02,05,613.7,639.0
D,2019-09-02,06,606.0,655.4
D,2019-09-02,07,629.3,672.4
D,2019-09-02,08,677.2,710.2
D,2019-09-02,09,779.8,772.2
D,2019-09-02,10,817.2,836.4
D,2019-09-02,11,957.6,893.1
D,2019-09-02,12,994.2,927.1
D,2019-09-02,13,1024.7,962.6
D,2019-09-02,14,1068.1,978.4
D,2019-09-02,15,1072.1,977.3
D,2019-09-02,16,1073.9,979.4
D,2019-09-02,17,1090.7,1000.5
D,2019-09-02,18,1095.7,1020.6
D,2019-09-02,19,1110.4,1033.3
D,2019-09-02,20,1089.8,1044.7
D,2019-09-02,21,1054.6,1035.6
