C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4005_20191201_20191231.csv
C,Time period: 2019-12-01 to 2019-12-31
C,Location/Node: .Z.RHODEISLAND
C,Report generated 2020-05-10 09:34:28 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2019-12-01,01,802.0,753.3
D,2019-12-01,02,777.4,728.4
D,2019-12-01,03,773.6,714.1
D,2019-12-01,04,770.8,710.0
D,2019-12-01,05,765.2,718.2
D,2019-12-01,06,797.1,738.0
D,2019-12-01,07,799.5,771.3
D,2019-12-01,08,867.5,805.9
D,2019-12-01,09,903.2,841.7
D,2019-12-01,10,912.0,873.6
D,2019-12-01,11,932.4,897.1
D,2019-12-01,12,959.1,912.3
D,2019-12-01,13,947.4,933.6
D,2019-12-01,14,954.1,940.6
D,2019-12-01,15,956.3,956.4
D,2019-12-01,16,978.8,983.7
D,2019-12-01,17,1106.7,1053.1
D,2019-12-01,18,1149.5,1073.9
D,2019-12-01,19,1049.1,1055.9
D,2019-12-01,20,1009.8,1018.8
D,2019-12-01,21,973.7,980.9
D,2019-12-01,22,899.2,917.6
D,2019-12-01,23,833.8,847.7
D,2019-12-01,24,783.8,785.0
D,2019-12-02,01,711.4,735.6
D,2019-12-02,02,699.1,707.8
D,2019-12-02,03,690.5,695.0
D,2019-12-02,04,697.5,694.8
D,2019-12-02,05,701.1,711.0
D,2019-12-02,06,756.0,766.5
D,2019-12-02,07,867.1,866.9
D,2019-12-02,08,933.4,928.0
D,2019-12-02,09,964.9,958.3
D,2019-12-02,10,1037.6,980.7
D,2019-12-02,11,1071.5,999.3
D,2019-12-02,12,1080.4,1008.3
D,2019-12-02,13,1064.8,1011.2
D,2019-12-02,14,1054.7,1015.1
D,2019-12-02,15,1036.4,1003.0
D,2019-12-02,16,1051.1,1012.3
D,2019-12-02,17,1124.4,1067.1
D,2019-12-02,18,1147.1,1103.5
D,2019-12-02,19,1041.0,1100.3
D,2019-12-02,20,1012.3,1074.4
D,2019-12-02,21,926.1,1025.6
D,2019-12-02,22,835.4,970.7
D,2019-12-02,23,770.0,901.1
D,2019-12-02,24,712.5,829.8
D,2019-12-03,01,746.3,780.8
D,2019-12-03,02,734.2,757.8
D,2019-12-03,03,705.8,747.6
D,2019-12-03,04,690.5,745.9
D,2019-12-03,05,741.2,767.1
D,2019-12-03,06,772.6,816.7
D,2019-12-03,07,887.5,888.2
D,2019-12-03,08,983.7,950.0
D,2019-12-03,09,973.7,995.7
D,2019-12-03,10,1043.9,1019.8
D,2019-12-03,11,1071.7,1036.2
D,2019-12-03,12,1083.3,1036.1
D,2019-12-03,13,1061.1,1036.3
D,2019-12-03,14,1004.7,1029.0
D,2019-12-03,15,991.2,1021.9
D,2019-12-03,16,1010.7,1021.7
D,2019-12-03,17,1069.6,1073.8
D,2019-12-03,18,1101.8,1120.3
D,2019-12-03,19,1073.7,1109.2
D,2019-12-03,20,1041.7,1077.9
D,2019-12-03,21,1001.1,1032.9
D,2019-12-03,22,922.0,962.1
D,2019-12-03,23,863.3,890.2
D,2019-12-03,24,792.9,816.4
D,2019-12-04,01,777.8,768.9
D,2019-12-04,02,775.7,744.7
D,2019-12-04,03,744.9,734.0
D,2019-12-04,04,741.8,733.8
D,2019-12-04,05,755.9,757.7
D,2019-12-04,06,808.0,812.0
D,2019-12-04,07,919.0,910.3
D,2019-12-04,08,976.7,964.2
D,2019-12-04,09,1023.0,981.3
D,2019-12-04,10,984.3,992.1
D,2019-12-04,11,988.4,986.8
D,2019-12-04,12,987.5,992.1
D,2019-12-04,13,983.3,988.4
D,2019-12-04,14,974.5,984.7
D,2019-12-04,15,996.5,975.9
D,2019-12-04,16,1002.5,989.7
D,2019-12-04,17,1036.1,1049.3
D,2019-12-04,18,1039.7,1083.6
D,2019-12-04,19,1034.9,1075.6
D,2019-12-04,20,1010.3,1051.9
D,2019-12-04,21,974.8,1017.4
D,2019-12-04,22,907.8,951.9
D,2019-12-04,23,805.1,859.0
D,2019-12-04,24,760.9,796.5
D,2019-12-05,01,707.3,749.2
D,2019-12-05,02,701.0,724.0
D,2019-12-05,03,678.6,710.8
D,2019-12-05,04,683.4,710.6
D,2019-12-05,05,697.2,734.0
D,2019-12-05,06,772.1,791.4
D,2019-12-05,07,883.1,889.5
D,2019-12-05,08,923.5,942.5
D,2019-12-05,09,967.1,952.7
D,2019-12-05,10,908.8,948.5
D,2019-12-05,11,924.4,945.6
D,2019-12-05,12,921.1,936.9
D,2019-12-05,13,918.2,925.5
D,2019-12-05,14,911.6,928.7
D,2019-12-05,15,912.4,928.1
D,2019-12-05,16,908.4,940.9
D,2019-12-05,17,951.4,1011.2
D,2019-12-05,18,1006.9,1063.4
D,2019-12-05,19,972.3,1069.3
D,2019-12-05,20,962.9,1050.3
D,2019-12-05,21,935.2,1017.6
D,2019-12-05,22,888.1,964.0
D,2019-12-05,23,819.1,875.7
D,2019-12-05,24,759.1,814.9
D,2019-12-06,01,754.1,765.4
D,2019-12-06,02,733.7,740.5
D,2019-12-06,03,719.2,730.1
D,2019-12-06,04,706.1,726.1
D,2019-12-06,05,725.8,749.8
D,2019-12-06,06,772.9,805.1
D,2019-12-06,07,869.3,904.1
D,2019-12-06,08,956.6,961.0
D,2019-12-06,09,980.1,988.9
D,2019-12-06,10,975.1,1006.5
D,2019-12-06,11,957.9,1009.1
D,2019-12-06,12,971.7,1003.4
D,2019-12-06,13,971.8,988.6
D,2019-12-06,14,947.4,980.1
D,2019-12-06,15,944.7,980.9
D,2019-12-06,16,1002.3,981.0
D,2019-12-06,17,1039.2,1031.4
D,2019-12-06,18,1023.3,1043.8
D,2019-12-06,19,994.5,1028.9
D,2019-12-06,20,964.4,999.0
D,2019-12-06,21,923.7,961.0
D,2019-12-06,22,861.2,915.7
D,2019-12-06,23,800.3,854.9
D,2019-12-06,24,774.2,798.8
D,2019-12-07,01,733.2,750.3
D,2019-12-07,02,704.2,723.6
D,2019-12-07,03,693.8,710.0
D,2019-12-07,04,685.5,706.6
D,2019-12-07,05,698.1,715.4
D,2019-12-07,06,744.4,745.5
D,2019-12-07,07,771.4,796.6
D,2019-12-07,08,826.8,843.9
D,2019-12-07,09,903.4,882.9
D,2019-12-07,10,886.7,899.8
D,2019-12-07,11,910.3,907.0
D,2019-12-07,12,895.5,900.9
D,2019-12-07,13,878.5,891.1
D,2019-12-07,14,863.0,884.5
D,2019-12-07,15,871.1,891.4
D,2019-12-07,16,901.9,909.5
D,2019-12-07,17,963.5,984.0
D,2019-12-07,18,1026.7,1033.6
D,2019-12-07,19,993.9,1019.1
D,2019-12-07,20,960.0,999.4
D,2019-12-07,21,950.2,975.6
D,2019-12-07,22,916.1,937.5
D,2019-12-07,23,879.0,891.9
D,2019-12-07,24,854.0,832.4
D,2019-12-08,01,805.1,790.6
D,2019-12-08,02,781.0,763.5
D,2019-12-08,03,766.0,750.3
D,2019-12-08,04,760.9,746.8
D,2019-12-08,05,784.0,753.0
D,2019-12-08,06,801.4,772.8
D,2019-12-08,07,827.4,807.9
D,2019-12-08,08,853.6,844.8
D,2019-12-08,09,877.5,879.7
D,2019-12-08,10,893.9,901.7
D,2019-12-08,11,894.9,907.9
D,2019-12-08,12,887.9,905.3
D,2019-12-08,13,903.3,902.6
D,2019-12-08,14,903.8,915.2
D,2019-12-08,15,904.1,916.5
D,2019-12-08,16,922.9,940.7
D,2019-12-08,17,1043.0,1022.8
D,2019-12-08,18,1064.0,1060.3
D,2019-12-08,19,1035.0,1053.2
D,2019-12-08,20,980.2,1022.2
D,2019-12-08,21,933.1,996.4
D,2019-12-08,22,875.5,927.9
D,2019-12-08,23,805.3,847.1
D,2019-12-08,24,726.4,781.6
D,2019-12-09,01,685.5,733.3
D,2019-12-09,02,682.2,704.4
D,2019-12-09,03,684.7,689.4
D,2019-12-09,04,673.3,684.8
D,2019-12-09,05,706.9,699.5
D,2019-12-09,06,735.2,757.5
D,2019-12-09,07,866.8,862.4
D,2019-12-09,08,932.3,925.6
D,2019-12-09,09,920.4,950.3
D,2019-12-09,10,950.7,962.9
D,2019-12-09,11,993.6,976.3
D,2019-12-09,12,988.3,987.8
D,2019-12-09,13,972.7,986.7
D,2019-12-09,14,999.2,989.5
D,2019-12-09,15,999.1,976.7
D,2019-12-09,16,992.3,980.0
D,2019-12-09,17,1042.5,1026.5
D,2019-12-09,18,1066.0,1050.4
D,2019-12-09,19,1009.1,1034.6
D,2019-12-09,20,946.2,1000.8
D,2019-12-09,21,906.5,954.9
D,2019-12-09,22,854.7,894.0
D,2019-12-09,23,792.9,804.8
D,2019-12-09,24,697.4,734.2
D,2019-12-10,01,652.1,680.0
D,2019-12-10,02,633.6,648.7
D,2019-12-10,03,619.9,634.5
D,2019-12-10,04,614.0,632.0
D,2019-12-10,05,648.5,657.9
D,2019-12-10,06,696.4,710.2
D,2019-12-10,07,821.0,804.2
D,2019-12-10,08,893.8,862.8
D,2019-12-10,09,887.0,885.3
D,2019-12-10,10,902.5,901.1
D,2019-12-10,11,870.7,909.4
D,2019-12-10,12,866.2,914.5
D,2019-12-10,13,920.2,916.8
D,2019-12-10,14,916.3,916.1
D,2019-12-10,15,920.2,923.3
D,2019-12-10,16,922.8,931.5
D,2019-12-10,17,993.8,978.0
D,2019-12-10,18,1035.3,1014.2
D,2019-12-10,19,989.0,1002.3
D,2019-12-10,20,964.4,974.5
D,2019-12-10,21,918.1,936.0
D,2019-12-10,22,845.1,873.7
D,2019-12-10,23,791.5,799.0
D,2019-12-10,24,729.1,735.8
D,2019-12-11,01,660.4,689.5
D,2019-12-11,02,652.7,661.9
D,2019-12-11,03,645.4,654.1
D,2019-12-11,04,646.9,660.4
D,2019-12-11,05,672.9,694.9
D,2019-12-11,06,738.1,756.2
D,2019-12-11,07,828.4,857.4
D,2019-12-11,08,950.6,933.6
D,2019-12-11,09,944.0,965.5
D,2019-12-11,10,971.9,998.6
D,2019-12-11,11,1003.2,1019.2
D,2019-12-11,12,1017.7,1021.2
D,2019-12-11,13,998.9,991.1
D,2019-12-11,14,993.3,978.9
D,2019-12-11,15,973.4,971.5
D,2019-12-11,16,980.2,978.7
D,2019-12-11,17,1077.7,1052.4
D,2019-12-11,18,1088.3,1106.3
D,2019-12-11,19,1064.1,1103.0
D,2019-12-11,20,1057.1,1083.5
D,2019-12-11,21,1012.7,1043.9
D,2019-12-11,22,945.2,977.5
D,2019-12-11,23,870.0,903.5
D,2019-12-11,24,816.0,828.3
D,2019-12-12,01,780.9,777.4
D,2019-12-12,02,772.3,755.4
D,2019-12-12,03,754.0,748.5
D,2019-12-12,04,729.0,749.4
D,2019-12-12,05,756.9,771.8
D,2019-12-12,06,794.3,837.7
D,2019-12-12,07,929.3,941.1
D,2019-12-12,08,998.8,1001.4
D,2019-12-12,09,993.4,1021.3
D,2019-12-12,10,997.3,1018.1
D,2019-12-12,11,964.1,1006.0
D,2019-12-12,12,969.7,1003.1
D,2019-12-12,13,993.5,993.1
D,2019-12-12,14,995.1,983.8
D,2019-12-12,15,978.4,986.9
D,2019-12-12,16,985.6,992.9
D,2019-12-12,17,1113.2,1066.1
D,2019-12-12,18,1144.3,1117.3
D,2019-12-12,19,1121.2,1115.0
D,2019-12-12,20,1084.9,1097.0
D,2019-12-12,21,1048.0,1064.7
D,2019-12-12,22,988.0,1007.5
D,2019-12-12,23,912.9,929.0
D,2019-12-12,24,843.0,851.9
D,2019-12-13,01,807.1,798.3
D,2019-12-13,02,802.8,771.5
D,2019-12-13,03,791.8,759.6
D,2019-12-13,04,760.5,759.0
D,2019-12-13,05,800.4,774.7
D,2019-12-13,06,826.7,830.4
D,2019-12-13,07,937.3,928.1
D,2019-12-13,08,1034.6,985.9
D,2019-12-13,09,1027.2,1002.4
D,2019-12-13,10,1030.0,1016.1
D,2019-12-13,11,1048.1,1007.3
D,2019-12-13,12,1044.7,1006.1
D,2019-12-13,13,1012.4,1000.4
D,2019-12-13,14,1014.3,994.3
D,2019-12-13,15,1013.0,991.2
D,2019-12-13,16,1014.2,988.5
D,2019-12-13,17,1043.1,1041.6
D,2019-12-13,18,1067.3,1059.2
D,2019-12-13,19,1027.1,1042.4
D,2019-12-13,20,956.6,1008.1
D,2019-12-13,21,924.3,971.9
D,2019-12-13,22,860.2,922.4
D,2019-12-13,23,810.1,857.9
D,2019-12-13,24,720.1,785.6
D,2019-12-14,01,661.1,727.7
D,2019-12-14,02,643.6,696.0
D,2019-12-14,03,624.6,672.1
D,2019-12-14,04,626.3,660.3
D,2019-12-14,05,633.6,663.5
D,2019-12-14,06,657.4,680.1
D,2019-12-14,07,693.5,721.5
D,2019-12-14,08,717.3,767.8
D,2019-12-14,09,775.0,828.4
D,2019-12-14,10,818.7,869.2
D,2019-12-14,11,836.6,880.2
D,2019-12-14,12,844.5,886.0
D,2019-12-14,13,845.2,883.2
D,2019-12-14,14,842.2,872.1
D,2019-12-14,15,833.0,867.3
D,2019-12-14,16,832.8,876.3
D,2019-12-14,17,863.9,933.0
D,2019-12-14,18,889.1,956.6
D,2019-12-14,19,869.2,933.7
D,2019-12-14,20,845.2,904.5
D,2019-12-14,21,818.2,872.5
D,2019-12-14,22,773.5,832.1
D,2019-12-14,23,728.4,781.5
D,2019-12-14,24,664.1,718.5
D,2019-12-15,01,640.0,675.2
D,2019-12-15,02,573.2,646.1
D,2019-12-15,03,583.4,631.5
D,2019-12-15,04,552.9,627.4
D,2019-12-15,05,554.6,633.0
D,2019-12-15,06,599.0,651.4
D,2019-12-15,07,654.1,686.0
D,2019-12-15,08,663.0,722.4
D,2019-12-15,09,710.8,768.0
D,2019-12-15,10,719.3,802.3
D,2019-12-15,11,732.1,824.3
D,2019-12-15,12,740.5,845.0
D,2019-12-15,13,756.2,866.1
D,2019-12-15,14,784.9,874.6
D,2019-12-15,15,776.8,866.9
D,2019-12-15,16,808.9,872.7
D,2019-12-15,17,896.7,954.6
D,2019-12-15,18,953.2,1011.4
D,2019-12-15,19,920.6,1012.9
D,2019-12-15,20,902.7,996.3
D,2019-12-15,21,869.8,965.0
D,2019-12-15,22,833.6,916.1
D,2019-12-15,23,762.8,850.7
D,2019-12-15,24,705.9,779.7
D,2019-12-16,01,689.3,734.4
D,2019-12-16,02,691.6,707.8
D,2019-12-16,03,688.3,696.5
D,2019-12-16,04,690.3,701.2
D,2019-12-16,05,709.8,723.1
