C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4005_20190401_20190430.csv
C,Time period: 2019-04-01 to 2019-04-30
C,Location/Node: .Z.RHODEISLAND
C,Report generated 2020-05-10 09:32:23 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2019-04-01,01,642.8,650.4
D,2019-04-01,02,607.1,632.1
D,2019-04-01,03,614.9,621.7
D,2019-04-01,04,616.5,625.7
D,2019-04-01,05,652.1,649.2
D,2019-04-01,06,710.3,712.4
D,2019-04-01,07,863.0,816.3
D,2019-04-01,08,983.2,879.0
D,2019-04-01,09,970.1,883.0
D,2019-04-01,10,974.1,880.9
D,2019-04-01,11,875.1,873.8
D,2019-04-01,12,858.1,878.6
D,2019-04-01,13,830.7,864.1
D,2019-04-01,14,825.9,855.7
D,2019-04-01,15,821.2,842.2
D,2019-04-01,16,815.1,831.7
D,2019-04-01,17,846.6,853.0
D,2019-04-01,18,870.1,878.1
D,2019-04-01,19,908.5,895.5
D,2019-04-01,20,958.9,939.9
D,2019-04-01,21,993.2,932.7
D,2019-04-01,22,919.8,884.2
D,2019-04-01,23,844.6,808.5
D,2019-04-01,24,750.8,742.6
D,2019-04-02,01,726.7,698.4
D,2019-04-02,02,710.3,678.9
D,2019-04-02,03,698.8,673.3
D,2019-04-02,04,679.0,677.4
D,2019-04-02,05,704.2,694.4
D,2019-04-02,06,775.4,761.4
D,2019-04-02,07,945.6,858.3
D,2019-04-02,08,970.1,905.4
D,2019-04-02,09,928.2,900.9
D,2019-04-02,10,877.7,894.0
D,2019-04-02,11,861.8,885.1
D,2019-04-02,12,849.7,875.0
D,2019-04-02,13,830.1,851.3
D,2019-04-02,14,837.4,843.0
D,2019-04-02,15,818.6,829.1
D,2019-04-02,16,828.6,836.5
D,2019-04-02,17,833.7,851.4
D,2019-04-02,18,859.6,888.5
D,2019-04-02,19,898.3,912.6
D,2019-04-02,20,942.8,943.3
D,2019-04-02,21,977.1,921.9
D,2019-04-02,22,875.1,863.8
D,2019-04-02,23,757.4,792.3
D,2019-04-02,24,674.2,720.9
D,2019-04-03,01,691.5,675.8
D,2019-04-03,02,662.5,655.8
D,2019-04-03,03,665.1,647.5
D,2019-04-03,04,645.4,650.4
D,2019-04-03,05,675.7,667.8
D,2019-04-03,06,717.5,727.2
D,2019-04-03,07,862.3,822.5
D,2019-04-03,08,946.6,886.5
D,2019-04-03,09,967.9,906.2
D,2019-04-03,10,950.7,903.5
