C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4005_20190701_20190731.csv
C,Time period: 2019-07-01 to 2019-07-31
C,Location/Node: .Z.RHODEISLAND
C,Report generated 2020-05-10 09:32:56 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2019-07-01,01,679.8,717.0
D,2019-07-01,02,645.2,687.7
D,2019-07-01,03,636.5,666.1
D,2019-07-01,04,605.9,657.9
D,2019-07-01,05,623.8,666.0
D,2019-07-01,06,640.6,689.3
D,2019-07-01,07,710.7,773.6
D,2019-07-01,08,860.9,867.8
D,2019-07-01,09,936.2,949.9
D,2019-07-01,10,995.3,1007.8
D,2019-07-01,11,1053.8,1043.2
D,2019-07-01,12,1093.8,1081.0
D,2019-07-01,13,1117.8,1120.8
D,2019-07-01,14,1166.5,1155.4
D,2019-07-01,15,1218.6,1191.1
D,2019-07-01,16,1238.4,1225.0
D,2019-07-01,17,1259.3,1240.6
D,2019-07-01,18,1245.0,1244.8
D,2019-07-01,19,1218.9,1222.6
D,2019-07-01,20,1191.2,1180.2
D,2019-07-01,21,1146.1,1148.9
D,2019-07-01,22,1065.7,1104.0
D,2019-07-01,23,969.0,1018.1
D,2019-07-01,24,841.3,903.6
D,2019-07-02,01,806.9,827.9
D,2019-07-02,02,778.6,785.7
D,2019-07-02,03,746.3,757.9
D,2019-07-02,04,724.9,743.0
D,2019-07-02,05,737.7,746.7
D,2019-07-02,06,758.3,774.3
D,2019-07-02,07,855.7,842.7
D,2019-07-02,08,969.4,928.6
D,2019-07-02,09,1049.1,998.2
D,2019-07-02,10,1111.4,1037.3
D,2019-07-02,11,1193.8,1073.5
D,2019-07-02,12,1242.4,1118.0
D,2019-07-02,13,1360.5,1174.4
D,2019-07-02,14,1392.8,1195.8
D,2019-07-02,15,1441.4,1192.9
D,2019-07-02,16,1454.5,1207.9
D,2019-07-02,17,1434.9,1251.3
D,2019-07-02,18,1390.9,1279.3
D,2019-07-02,19,1387.9,1263.5
D,2019-07-02,20,1355.3,1206.9
D,2019-07-02,21,1333.2,1183.0
D,2019-07-02,22,1263.0,1139.5
D,2019-07-02,23,1140.6,1050.8
D,2019-07-02,24,1017.9,947.0
D,2019-07-03,01,916.3,868.0
D,2019-07-03,02,876.1,811.5
D,2019-07-03,03,809.2,779.6
D,2019-07-03,04,790.4,759.6
D,2019-07-03,05,776.9,762.0
D,2019-07-03,06,815.3,784.7
D,2019-07-03,07,899.0,866.4
D,2019-07-03,08,1006.2,985.0
D,2019-07-03,09,1124.9,1073.8
D,2019-07-03,10,1216.2,1162.3
D,2019-07-03,11,1303.6,1247.7
D,2019-07-03,12,1364.9,1316.8
D,2019-07-03,13,1430.2,1368.9
D,2019-07-03,14,1464.8,1414.1
D,2019-07-03,15,1508.8,1443.6
D,2019-07-03,16,1505.5,1466.0
D,2019-07-03,17,1492.7,1468.9
D,2019-07-03,18,1455.2,1463.3
D,2019-07-03,19,1454.5,1425.7
D,2019-07-03,20,1366.2,1346.9
D,2019-07-03,21,1326.8,1278.2
