PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,"02807, USA",,,,,,,,,
Location:,"Lat, Lon: 41.17, -71.58",,,,,,,,,
Lat (deg N):,41.17,,,,,,,,,
Long (deg W):,71.58,,,,,,,,,
Elev (m):,23,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.557,,,,,,,,,
Capacity Factor (%),"15.9	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
3,21,16,631,69,2,2,292.296,10.059,240.514,230.011
3,21,17,269,29,2,3,61.748,2.456,43.876,37.949
3,21,18,0,0,1,3,0,1,0,0
3,21,19,0,0,1,3,0,1,0,0
3,21,20,0,0,1,3,0,1,0,0
3,21,21,0,0,1,4,0,1,0,0
3,21,22,0,0,1,4,0,1,0,0
3,21,23,0,0,1,4,0,1,0,0
3,22,0,0,0,2,5,0,2,0,0
3,22,1,0,0,2,5,0,2,0,0
3,22,2,0,0,2,5,0,2,0,0
3,22,3,0,0,2,5,0,2,0,0
3,22,4,0,0,2,5,0,2,0,0
3,22,5,0,0,2,5,0,2,0,0
3,22,6,355,43,2,5,103.17,2.555,76.705,70.114
3,22,7,418,99,3,5,272.521,7.075,237.763,227.334
3,22,8,431,170,4,4,447.282,12.899,399.552,384.296
3,22,9,249,280,5,4,494.765,15.329,443.195,426.471
3,22,10,201,342,5,4,541.633,16.466,483.761,465.608
3,22,11,25,294,5,4,313.5,11.519,286.414,274.636
3,22,12,12,247,6,4,252.898,10.676,231.912,221.639
3,22,13,517,243,6,3,721.686,22.406,626.703,603.028
3,22,14,489,220,6,3,604.683,20.848,526.585,506.858
3,22,15,0,106,6,3,101.472,8.341,94.011,87.054
3,22,16,0,30,5,3,28.431,4.092,26.829,21.231
3,22,17,222,33,5,3,59.404,4.661,43.859,37.933
3,22,18,0,0,4,4,0,4,0,0
3,22,19,0,0,3,5,0,3,0,0
3,22,20,0,0,2,5,0,2,0,0
3,22,21,0,0,1,5,0,1,0,0
3,22,22,0,0,0,5,0,0,0,0
3,22,23,0,0,0,5,0,0,0,0
3,23,0,0,0,0,5,0,0,0,0
3,23,1,0,0,0,5,0,0,0,0
3,23,2,0,0,0,5,0,0,0,0
3,23,3,0,0,0,5,0,0,0,0
3,23,4,0,0,0,5,0,0,0,0
3,23,5,0,0,-1,5,0,-1,0,0
3,23,6,466,40,-1,5,119.42,-0.137,86.398,79.604
3,23,7,739,69,0,5,371.221,6.034,319.107,306.373
3,23,8,863,85,0,5,620.672,11.352,554.401,533.614
3,23,9,929,94,0,5,824.294,15.746,734.582,706.237
3,23,10,969,98,0,5,972.037,18.958,857.632,823.432
3,23,11,980,101,0,5,1040.028,20.52,911.973,833.333
3,23,12,480,288,0,5,776.041,15.496,696.298,669.66
3,23,13,462,268,1,6,701.506,13.097,635.607,611.563
3,23,14,195,273,1,6,429.997,8.211,397.315,382.132
3,23,15,815,89,0,7,557.097,8.221,500.481,481.721
3,23,16,665,69,0,7,305.162,4.31,257.372,246.41
3,23,17,320,32,0,7,69.357,0.249,48.871,42.846
3,23,18,0,0,0,7,0,0,0,0
3,23,19,0,0,0,7,0,0,0,0
3,23,20,0,0,-1,7,0,-1,0,0
3,23,21,0,0,-1,8,0,-1,0,0
3,23,22,0,0,-2,8,0,-2,0,0
3,23,23,0,0,-2,7,0,-2,0,0
3,24,0,0,0,-2,7,0,-2,0,0
3,24,1,0,0,-2,6,0,-2,0,0
3,24,2,0,0,-2,6,0,-2,0,0
3,24,3,0,0,-2,6,0,-2,0,0
3,24,4,0,0,-2,6,0,-2,0,0
3,24,5,0,0,-1,6,0,-1,0,0
3,24,6,468,41,0,7,122.382,0.773,88.732,81.888
3,24,7,731,69,0,7,370.578,4.893,320.715,307.933
3,24,8,850,86,0,7,616.636,9.114,556.588,535.717
3,24,9,908,99,1,6,816.242,14.908,730.323,702.17
3,24,10,937,107,2,6,956.05,18.631,844.856,811.29
3,24,11,940,115,3,6,1019.919,20.938,892.654,833.333
3,24,12,923,121,4,6,1002.976,21.727,874.548,833.333
3,24,13,876,129,4,5,911.112,22.057,792.152,761.138
3,24,14,841,91,4,5,727.992,18.345,639.794,615.575
3,24,15,757,101,4,4,539.624,15.927,469.217,451.583
3,24,16,626,73,4,4,296.605,10.137,244.914,234.293
3,24,17,286,34,3,4,67.125,3.466,48.002,41.994
3,24,18,0,0,2,4,0,2,0,0
3,24,19,0,0,2,4,0,2,0,0
3,24,20,0,0,1,4,0,1,0,0
3,24,21,0,0,1,4,0,1,0,0
3,24,22,0,0,1,4,0,1,0,0
3,24,23,0,0,1,4,0,1,0,0
3,25,0,0,0,1,4,0,1,0,0
3,25,1,0,0,1,4,0,1,0,0
3,25,2,0,0,1,5,0,1,0,0
3,25,3,0,0,1,4,0,1,0,0
3,25,4,0,0,0,4,0,0,0,0
3,25,5,0,0,0,4,0,0,0,0
3,25,6,493,42,1,4,129.244,2.19,93.185,86.245
3,25,7,755,68,2,3,381.685,9.953,323.409,310.546
3,25,8,870,83,3,3,628.243,17.598,546.192,525.721
3,25,9,932,93,4,2,830.905,26.651,704.342,677.35
3,25,10,964,99,5,2,973.686,31.884,808.438,776.646
3,25,11,977,103,5,1,1043.797,39.243,836.444,803.292
3,25,12,977,102,6,0,1034.511,47.084,796.18,764.974
3,25,13,956,99,7,0,943.077,45.287,731.601,703.391
3,25,14,913,93,7,0,780.442,39.965,618.303,594.974
3,25,15,554,131,6,1,458.368,22.413,388.595,373.697
3,25,16,20,105,5,1,108.288,8.638,99.307,92.236
3,25,17,0,27,3,2,25.632,1.91,24.413,18.861
3,25,18,0,0,3,3,0,3,0,0
3,25,19,0,0,3,3,0,3,0,0
3,25,20,0,0,2,3,0,2,0,0
3,25,21,0,0,2,3,0,2,0,0
3,25,22,0,0,2,3,0,2,0,0
3,25,23,0,0,2,3,0,2,0,0
3,26,0,0,0,2,3,0,2,0,0
3,26,1,0,0,2,3,0,2,0,0
3,26,2,0,0,2,3,0,2,0,0
3,26,3,0,0,2,3,0,2,0,0
3,26,4,0,0,2,3,0,2,0,0
3,26,5,0,0,2,3,0,2,0,0
3,26,6,412,48,3,3,122.927,4.16,91.277,84.378
3,26,7,669,65,4,3,346.219,11.047,292.821,280.859
3,26,8,60,211,4,3,249.24,9.278,229.101,218.903
3,26,9,1,173,5,3,167.956,7.996,155.836,147.48
3,26,10,53,322,5,2,377.743,14.015,341.251,327.847
3,26,11,31,314,5,2,351.155,14.033,317.253,304.574
3,26,12,4,182,5,2,179.697,9.202,165.857,157.261
3,26,13,19,261,5,2,272.354,11.153,249.203,238.464
3,26,14,0,140,4,2,134.476,6.642,125.511,117.859
3,26,15,17,169,4,2,173.71,7.232,161.388,152.9
3,26,16,0,6,4,3,5.678,2.716,5.389,0.19
3,26,17,21,34,4,2,35.019,2.795,32.087,26.389
3,26,18,0,0,4,2,0,4,0,0
3,26,19,0,0,4,3,0,4,0,0
3,26,20,0,0,4,3,0,4,0,0
3,26,21,0,0,4,3,0,4,0,0
3,26,22,0,0,5,2,0,5,0,0
3,26,23,0,0,5,1,0,5,0,0
3,27,0,0,0,5,1,0,5,0,0
3,27,1,0,0,5,1,0,5,0,0
3,27,2,0,0,5,1,0,5,0,0
3,27,3,0,0,4,2,0,4,0,0
3,27,4,0,0,4,3,0,4,0,0
3,27,5,0,0,4,4,0,4,0,0
3,27,6,0,31,4,3,29.395,2.815,27.89,22.272
3,27,7,119,140,4,2,191.278,7.334,173.677,164.891
3,27,8,693,129,6,2,575.127,20.413,495.418,476.843
3,27,9,720,147,7,1,736.087,30.672,612.689,589.59
3,27,10,622,226,8,1,818.838,34.7,670.838,645.305
3,27,11,866,143,9,1,993.485,40.874,789.648,758.752
3,27,12,528,279,10,0,814.324,43.955,637.128,613.021
3,27,13,557,238,11,0,754.187,42.057,595.24,572.846
3,27,14,357,253,10,1,536.197,28.433,451.207,434.206
3,27,15,299,187,9,1,365.847,21.257,314.496,301.899
3,27,16,354,98,8,1,227.84,15.027,189.748,180.564
3,27,17,12,35,6,2,34.981,5.666,32.14,26.441
3,27,18,0,0,6,2,0,6,0,0
3,27,19,0,0,5,2,0,5,0,0
3,27,20,0,0,5,2,0,5,0,0
3,27,21,0,0,5,2,0,5,0,0
3,27,22,0,0,5,1,0,5,0,0
3,27,23,0,0,5,1,0,5,0,0
3,28,0,0,0,5,1,0,5,0,0
3,28,1,0,0,5,1,0,5,0,0
3,28,2,0,0,5,1,0,5,0,0
3,28,3,0,0,4,1,0,4,0,0
3,28,4,0,0,4,1,0,4,0,0
3,28,5,0,0,4,2,0,4,0,0
3,28,6,0,7,4,2,6.62,1.959,6.303,1.087
3,28,7,0,116,4,2,111.742,4.993,105.036,97.84
3,28,8,0,133,5,2,127.765,6.852,119.139,111.63
3,28,9,22,244,5,3,255.973,9.835,235.512,225.144
3,28,10,70,339,6,3,411.1,14.974,369.787,355.492
3,28,11,68,362,7,3,438.082,17.028,390.48,375.521
3,28,12,210,381,7,4,603.535,19.704,531.376,511.468
3,28,13,205,345,7,4,543.304,18.736,480.225,462.199
3,28,14,111,282,7,4,369.257,14.765,331.852,318.735
3,28,15,28,181,6,4,196.414,9.539,180.495,171.541
3,28,16,82,117,6,4,143.856,7.984,129.869,122.118
3,28,17,0,21,5,4,19.901,4.08,18.78,13.334
3,28,18,0,0,5,4,0,5,0,0
3,28,19,0,0,5,4,0,5,0,0
3,28,20,0,0,5,4,0,5,0,0
3,28,21,0,0,5,4,0,5,0,0
3,28,22,0,0,5,4,0,5,0,0
3,28,23,0,0,5,4,0,5,0,0
3,29,0,0,0,5,4,0,5,0,0
3,29,1,0,0,5,4,0,5,0,0
3,29,2,0,0,5,4,0,5,0,0
3,29,3,0,0,5,4,0,5,0,0
3,29,4,0,0,5,4,0,5,0,0
3,29,5,0,0,5,3,0,5,0,0
3,29,6,0,5,5,2,4.727,2.921,4.483,0
3,29,7,0,8,6,2,7.575,4.037,7.149,1.918
3,29,8,0,127,6,2,121.798,7.299,113.355,105.975
3,29,9,0,127,7,1,121.587,9.159,112.246,104.891
3,29,10,0,58,7,1,55.183,6.89,51.449,45.372
3,29,11,0,115,8,1,109.966,9.391,101.414,94.297
3,29,12,1,156,8,1,151.054,11.093,138.268,130.324
3,29,13,0,61,8,2,58.029,8.053,53.83,47.706
3,29,14,0,92,8,2,87.527,8.54,81.021,74.34
3,29,15,0,23,8,2,21.81,6.788,20.344,14.868
3,29,16,0,24,7,2,22.738,5.551,21.322,15.828
3,29,17,6,37,7,2,35.813,5.926,33.204,27.484
3,29,18,0,0,7,2,0,7,0,0
3,29,19,0,0,7,2,0,7,0,0
3,29,20,0,0,7,3,0,7,0,0
3,29,21,0,0,7,3,0,7,0,0
3,29,22,0,0,7,2,0,7,0,0
3,29,23,0,0,6,2,0,6,0,0
3,30,0,0,0,6,2,0,6,0,0
3,30,1,0,0,6,2,0,6,0,0
3,30,2,0,0,6,3,0,6,0,0
3,30,3,0,0,5,4,0,5,0,0
3,30,4,0,0,5,5,0,5,0,0
3,30,5,0,0,5,5,0,5,0,0
3,30,6,0,34,5,5,32.245,4.172,30.417,24.75
3,30,7,0,95,5,5,90.851,5.384,85.256,78.486
3,30,8,256,226,6,5,399.629,12.57,360.016,346.029
3,30,9,0,57,7,6,54.187,7.201,50.453,44.396
3,30,10,242,361,6,6,600.553,15.394,539.054,518.855
3,30,11,134,393,6,7,546.183,14.268,492.912,474.429
3,30,12,21,290,6,6,304.605,10.818,279.153,267.582
3,30,13,1,159,7,6,153.887,8.841,142.261,134.224
3,30,14,220,286,7,5,462.023,14.905,414.497,398.746
3,30,15,551,138,7,5,463.266,15.439,405.943,390.477
3,30,16,0,59,7,4,56.017,7.615,52.062,45.974
3,30,17,0,16,6,4,15.15,4.787,14.253,8.891
3,30,18,0,0,6,5,0,6,0,0
3,30,19,0,0,5,5,0,5,0,0
3,30,20,0,0,4,6,0,4,0,0
3,30,21,0,0,3,6,0,3,0,0
3,30,22,0,0,3,6,0,3,0,0
3,30,23,0,0,3,6,0,3,0,0
3,31,0,0,0,3,5,0,3,0,0
3,31,1,0,0,3,5,0,3,0,0
3,31,2,0,0,3,5,0,3,0,0
3,31,3,0,0,3,5,0,3,0,0
3,31,4,0,0,3,5,0,3,0,0
3,31,5,0,0,3,5,0,3,0,0
3,31,6,465,52,3,5,144.09,4.369,108.027,100.765
3,31,7,705,80,4,4,388.39,11.311,331.241,318.142
3,31,8,820,98,5,3,628.794,19.578,543.645,523.272
3,31,9,879,110,6,2,827.142,28.455,695.916,669.295
3,31,10,919,113,7,1,961.943,38.197,774.459,744.278
3,31,11,925,119,8,0,1023.278,48.11,783.49,752.885
3,31,12,912,123,9,0,1005.691,48.817,767.079,737.243
3,31,13,896,116,9,0,917.152,46.163,708.467,681.292
3,31,14,853,107,9,0,761.441,41.051,600.44,577.837
3,31,15,772,95,8,1,545.946,26.859,451.788,434.766
3,31,16,623,76,7,2,302.532,15.272,245.468,234.831
3,31,17,313,40,5,2,76.726,6.126,54.682,48.541
3,31,18,0,0,4,3,0,4,0,0
3,31,19,0,0,7,4,0,7,0,0
3,31,20,0,0,7,4,0,7,0,0
3,31,21,0,0,7,4,0,7,0,0
3,31,22,0,0,7,4,0,7,0,0
3,31,23,0,0,7,4,0,7,0,0
4,1,0,0,0,7,4,0,7,0,0
4,1,1,0,0,7,4,0,7,0,0
4,1,2,0,0,7,4,0,7,0,0
4,1,3,0,0,7,4,0,7,0,0
4,1,4,0,0,7,4,0,7,0,0
4,1,5,0,0,7,4,0,7,0,0
4,1,6,35,65,8,4,69.64,7.905,62.586,56.286
4,1,7,0,74,8,4,70.339,8.075,65.242,58.888
4,1,8,272,227,8,4,411.79,15.685,365.857,351.687
4,1,9,0,152,8,4,146.087,10.523,134.059,126.212
4,1,10,19,275,9,4,286.52,14.076,258.8,247.798
4,1,11,243,391,10,5,648.525,21.784,565.574,544.354
4,1,12,21,294,10,5,308.501,15.733,276.602,265.103
4,1,13,43,312,9,5,355.456,15.083,319.578,306.83
4,1,14,112,290,9,5,377.853,15.6,338.343,325.027
4,1,15,0,86,9,5,81.779,9.816,75.279,68.718
4,1,16,0,74,9,4,70.47,9.115,65.068,58.718
4,1,17,0,11,9,4,10.407,7.744,9.667,4.39
4,1,18,0,0,9,3,0,9,0,0
4,1,19,0,0,9,3,0,9,0,0
4,1,20,0,0,9,3,0,9,0,0
4,1,21,0,0,8,3,0,8,0,0
4,1,22,0,0,8,3,0,8,0,0
4,1,23,0,0,8,4,0,8,0,0
4,2,0,0,0,7,4,0,7,0,0
4,2,1,0,0,7,4,0,7,0,0
4,2,2,0,0,7,4,0,7,0,0
4,2,3,0,0,6,4,0,6,0,0
4,2,4,0,0,6,4,0,6,0,0
4,2,5,0,0,6,4,0,6,0,0
4,2,6,477,56,6,4,153.557,7.767,114.633,107.225
4,2,7,728,80,6,4,402.662,13.655,340.539,327.157
4,2,8,844,94,7,3,644.438,21.938,551.464,530.79
4,2,9,908,102,8,3,841.454,28.141,709.133,681.929
4,2,10,959,98,9,2,986.024,35.979,802.721,771.204
4,2,11,974,100,9,2,1053.13,38.084,848.999,815.228
4,2,12,975,97,10,2,1040.127,38.895,835.022,801.94
4,2,13,957,94,11,2,949.093,37.536,766.161,736.367
4,2,14,916,90,11,2,787.973,33.215,646.029,621.55
4,2,15,845,81,11,2,573.98,27.213,473.778,455.983
4,2,16,715,66,10,2,325.628,18.952,258.179,247.194
4,2,17,429,37,9,2,87.689,10.543,57.331,51.137
4,2,18,0,0,8,2,0,8,0,0
4,2,19,0,0,7,2,0,7,0,0
4,2,20,0,0,6,2,0,6,0,0
4,2,21,0,0,6,2,0,6,0,0
4,2,22,0,0,5,2,0,5,0,0
4,2,23,0,0,5,3,0,5,0,0
4,3,0,0,0,5,3,0,5,0,0
4,3,1,0,0,4,3,0,4,0,0
4,3,2,0,0,4,3,0,4,0,0
4,3,3,0,0,4,3,0,4,0,0
4,3,4,0,0,4,3,0,4,0,0
4,3,5,0,0,4,3,0,4,0,0
4,3,6,511,54,5,3,160.004,7.099,119.034,111.528
4,3,7,458,116,6,3,322.703,12.56,278.563,267.009
4,3,8,832,98,7,3,643.412,21.707,551.477,530.803
4,3,9,889,109,7,3,840.599,27.157,711.882,684.555
4,3,10,651,226,8,3,854.399,28.929,720.034,692.344
4,3,11,588,276,8,3,879.917,29.553,739.726,711.147
4,3,12,882,135,8,3,1001.215,32.401,830.062,797.222
4,3,13,30,296,8,3,326.542,16.894,291.211,279.295
4,3,14,0,138,7,3,132.298,9.332,122.041,114.467
4,3,15,0,79,7,4,75.084,7.31,69.876,63.426
4,3,16,0,14,6,4,13.257,4.786,12.472,7.143
4,3,17,0,38,6,4,36.02,5.16,33.834,28.102
4,3,18,0,0,6,5,0,6,0,0
4,3,19,0,0,6,5,0,6,0,0
4,3,20,0,0,7,6,0,7,0,0
4,3,21,0,0,7,6,0,7,0,0
4,3,22,0,0,7,6,0,7,0,0
4,3,23,0,0,7,6,0,7,0,0
4,4,0,0,0,8,6,0,8,0,0
4,4,1,0,0,8,6,0,8,0,0
4,4,2,0,0,8,5,0,8,0,0
4,4,3,0,0,8,4,0,8,0,0
4,4,4,0,0,8,2,0,8,0,0
4,4,5,0,0,8,2,0,8,0,0
4,4,6,0,3,8,3,2.836,6.203,2.652,0
4,4,7,0,78,7,5,74.175,7.02,69.117,62.683
4,4,8,30,213,7,7,231.681,9.648,213.052,203.275
4,4,9,1,163,6,8,157.646,7.473,146.603,138.465
4,4,10,504,285,6,8,780.144,16.618,696.307,669.668
4,4,11,897,133,6,7,1017.634,22.031,886.373,833.333
4,4,12,252,391,6,7,665.212,16.63,593.959,571.616
4,4,13,174,362,7,7,533.627,15.143,479.489,461.49
4,4,14,62,279,6,6,328.129,11.217,299.834,287.668
4,4,15,0,151,6,6,145.368,7.714,135.048,127.178
4,4,16,131,128,6,5,174.534,8.232,156.133,147.77
4,4,17,371,42,5,5,86.451,5.536,60.499,54.241
4,4,18,0,0,5,4,0,5,0,0
4,4,19,0,0,5,4,0,5,0,0
4,4,20,0,0,4,3,0,4,0,0
4,4,21,0,0,3,2,0,3,0,0
4,4,22,0,0,3,2,0,3,0,0
4,4,23,0,0,3,1,0,3,0,0
4,5,0,0,0,4,1,0,4,0,0
4,5,1,0,0,4,2,0,4,0,0
4,5,2,0,0,4,2,0,4,0,0
4,5,3,0,0,4,2,0,4,0,0
4,5,4,0,0,4,2,0,4,0,0
4,5,5,0,0,4,2,0,4,0,0
4,5,6,20,72,4,1,73.556,3.756,68.324,61.907
4,5,7,253,153,4,1,268.91,10.82,238.338,227.894
4,5,8,205,246,5,1,384.522,16.597,341.017,327.62
4,5,9,54,298,5,2,345.121,13.893,311.821,299.304
4,5,10,137,380,5,2,525.789,18.645,465.148,447.658
4,5,11,6,188,6,2,187.392,11.048,171.564,162.829
4,5,12,16,273,5,2,282.01,11.449,257.731,246.759
4,5,13,13,243,4,3,247.943,9.068,228.966,218.772
4,5,14,0,129,4,3,123.451,5.883,115.6,108.171
4,5,15,0,40,3,4,37.962,2.425,36.078,30.303
4,5,16,0,33,3,5,31.283,2.203,29.758,24.105
4,5,17,161,58,4,5,75.41,4.07,62.153,55.862
4,5,18,0,0,4,5,0,4,0,0
4,5,19,0,0,4,5,0,4,0,0
4,5,20,0,0,3,5,0,3,0,0
4,5,21,0,0,3,5,0,3,0,0
4,5,22,0,0,3,6,0,3,0,0
4,5,23,0,0,2,6,0,2,0,0
4,6,0,0,0,2,6,0,2,0,0
4,6,1,0,0,2,6,0,2,0,0
4,6,2,0,0,2,5,0,2,0,0
4,6,3,0,0,2,5,0,2,0,0
4,6,4,0,0,2,4,0,2,0,0
4,6,5,0,0,2,4,0,2,0,0
4,6,6,548,56,2,4,174.819,4.218,132.55,124.737
4,6,7,764,77,3,4,424.072,11.169,363.892,349.784
4,6,8,862,91,4,4,662.016,17.966,577.691,555.995
4,6,9,912,101,5,4,852.219,23.628,734.002,705.683
4,6,10,947,103,6,4,988.179,27.93,836.695,803.531
4,6,11,305,388,7,4,716.983,23.358,620.733,597.304
4,6,12,214,400,7,4,627.478,20.826,549.647,529.044
4,6,13,595,242,7,4,796.958,24.338,686.106,659.914
4,6,14,886,99,7,4,778.607,24.296,666.46,641.114
4,6,15,812,89,7,3,566.471,21.062,481.912,463.825
4,6,16,686,71,7,3,322.779,14.655,262.259,251.161
4,6,17,411,41,6,2,90.869,7.606,61.731,55.448
4,6,18,0,0,5,2,0,5,0,0
4,6,19,0,0,5,2,0,5,0,0
4,6,20,0,0,5,2,0,5,0,0
4,6,21,0,0,4,2,0,4,0,0
4,6,22,0,0,4,1,0,4,0,0
4,6,23,0,0,4,1,0,4,0,0
4,7,0,0,0,4,2,0,4,0,0
4,7,1,0,0,4,2,0,4,0,0
4,7,2,0,0,4,3,0,4,0,0
4,7,3,0,0,4,4,0,4,0,0
4,7,4,0,0,4,4,0,4,0,0
4,7,5,0,5,5,3,4.727,3.206,4.477,0
4,7,6,98,79,6,3,98.349,6.58,86.112,79.324
4,7,7,256,157,7,3,275.513,12.232,242.963,232.394
4,7,8,431,207,7,3,503.627,18.246,441.581,424.913
4,7,9,531,234,8,3,689.705,24.24,593.042,570.736
4,7,10,510,288,8,4,791.156,25.314,678.414,652.555
4,7,11,41,352,8,4,399.224,16.966,355.958,342.099
4,7,12,2,156,8,4,151.895,10.625,139.325,131.357
4,7,13,15,257,8,4,263.667,12.574,239.754,229.271
4,7,14,0,144,8,5,138.091,9.726,127.165,119.475
4,7,15,6,168,8,5,165.454,10.056,152.037,143.771
4,7,16,0,59,8,5,56.014,7.943,51.985,45.898
4,7,17,0,1,8,5,0.945,6.672,0.882,0
4,7,18,0,0,8,6,0,8,0,0
4,7,19,0,0,8,6,0,8,0,0
4,7,20,0,0,8,5,0,8,0,0
4,7,21,0,0,8,4,0,8,0,0
4,7,22,0,0,7,3,0,7,0,0
4,7,23,0,0,7,3,0,7,0,0
4,8,0,0,0,7,2,0,7,0,0
4,8,1,0,0,7,1,0,7,0,0
4,8,2,0,0,7,1,0,7,0,0
4,8,3,0,0,7,1,0,7,0,0
4,8,4,0,0,7,1,0,7,0,0
4,8,5,0,0,7,2,0,7,0,0
4,8,6,0,24,7,2,22.734,5.468,21.326,15.833
4,8,7,0,27,7,3,25.596,5.821,23.975,18.431
4,8,8,0,114,6,4,108.837,6.822,101.502,94.383
4,8,9,0,98,6,5,93.343,6.569,87.148,80.338
4,8,10,0,81,6,5,77.142,6.223,72.13,65.634
4,8,11,0,126,5,5,120.677,6.048,112.921,105.551
4,8,12,0,120,4,5,114.819,4.999,107.926,100.667
4,8,13,0,118,3,5,112.774,3.943,106.485,99.257
4,8,14,0,107,3,5,102.025,3.727,96.424,89.415
4,8,15,9,173,3,5,172.067,5.092,161.51,153.019
4,8,16,0,60,3,4,56.966,2.961,54.015,47.888
4,8,17,0,5,3,4,4.727,1.529,4.509,0
4,8,18,0,0,3,4,0,3,0,0
4,8,19,0,0,3,3,0,3,0,0
4,8,20,0,0,3,3,0,3,0,0
4,8,21,0,0,4,3,0,4,0,0
4,8,22,0,0,4,3,0,4,0,0
4,8,23,0,0,4,4,0,4,0,0
4,9,0,0,0,3,5,0,3,0,0
4,9,1,0,0,3,6,0,3,0,0
4,9,2,0,0,3,6,0,3,0,0
4,9,3,0,0,3,6,0,3,0,0
4,9,4,0,0,3,6,0,3,0,0
4,9,5,0,3,3,6,2.835,1.738,2.702,0
4,9,6,0,58,3,6,55.089,2.667,52.301,46.208
4,9,7,7,141,3,6,138.635,4.215,130.531,122.765
4,9,8,23,215,4,6,223.555,6.834,208.213,198.561
4,9,9,295,317,4,6,577.997,13.207,523.21,503.609
4,9,10,439,319,4,5,759.227,18.406,672.262,646.668
4,9,11,259,404,5,5,689.629,18.348,611.018,587.986
4,9,12,590,281,5,4,883.158,24.36,760.956,731.404
4,9,13,760,171,5,3,873.255,26.599,743.736,714.975
4,9,14,270,294,6,2,514.87,21.117,449.022,432.096
4,9,15,398,188,6,2,429.985,17.632,375.46,360.985
4,9,16,774,50,6,1,334.118,16.804,266.51,255.294
4,9,17,463,42,5,0,99.301,10.227,65.719,59.354
4,9,18,0,0,5,0,0,5,0,0
4,9,19,0,0,5,0,0,5,0,0
4,9,20,0,0,4,0,0,4,0,0
4,9,21,0,0,4,1,0,4,0,0
4,9,22,0,0,4,2,0,4,0,0
4,9,23,0,0,4,2,0,4,0,0
4,10,0,0,0,3,2,0,3,0,0
4,10,1,0,0,3,2,0,3,0,0
4,10,2,0,0,3,3,0,3,0,0
4,10,3,0,0,2,3,0,2,0,0
4,10,4,0,0,2,3,0,2,0,0
4,10,5,89,14,2,3,13.492,0.391,11.363,6.054
4,10,6,525,65,3,2,185.465,6.108,143.195,135.136
4,10,7,733,89,5,2,431.328,15.539,365.376,351.221
4,10,8,825,108,6,1,664.444,26.961,557.095,536.204
4,10,9,878,121,7,1,858.344,34.592,701.793,674.914
4,10,10,937,113,8,0,996.459,46.791,767.968,738.09
4,10,11,944,118,9,0,1055.471,50.105,799.752,768.376
4,10,12,642,257,9,0,911.088,46.25,704.496,677.497
4,10,13,719,191,9,1,858.706,37.497,693.648,667.126
4,10,14,768,129,9,1,727.919,33.555,596.482,574.038
4,10,15,802,97,8,2,571.543,24.057,480.055,462.035
4,10,16,668,79,7,3,326.577,14.761,266.635,255.416
4,10,17,128,55,6,3,68.839,6.751,57.036,50.848
4,10,18,0,0,6,4,0,6,0,0
4,10,19,0,0,5,4,0,5,0,0
4,10,20,0,0,5,4,0,5,0,0
4,10,21,0,0,5,3,0,5,0,0
4,10,22,0,0,5,3,0,5,0,0
4,10,23,0,0,5,3,0,5,0,0
4,11,0,0,0,5,3,0,5,0,0
4,11,1,0,0,5,3,0,5,0,0
4,11,2,0,0,5,2,0,5,0,0
4,11,3,0,0,4,2,0,4,0,0
4,11,4,0,0,4,2,0,4,0,0
4,11,5,92,16,4,2,15.25,2.207,12.887,7.551
4,11,6,512,67,5,2,186.07,8.137,143.357,135.294
4,11,7,714,92,6,1,427.739,18.514,358.096,344.17
4,11,8,816,107,7,1,659.417,27.745,550.984,530.329
4,11,9,866,119,8,1,848.092,35.207,691.371,664.949
4,11,10,896,125,9,1,972.657,40.415,774.68,744.489
4,11,11,397,363,10,1,780.651,36.474,634.519,610.52
4,11,12,303,389,10,1,711.767,33.687,586.52,564.475
4,11,13,578,252,10,1,794.198,35.756,647.228,622.698
4,11,14,556,207,10,1,648.12,31.901,536.051,515.966
4,11,15,677,133,9,2,538.05,23.88,453.632,436.546
4,11,16,546,102,8,2,305.963,16.323,251.381,240.583
4,11,17,298,55,7,2,90.85,8.547,67.457,61.058
4,11,18,0,0,7,2,0,7,0,0
4,11,19,0,0,7,2,0,7,0,0
4,11,20,0,0,6,3,0,6,0,0
4,11,21,0,0,6,3,0,6,0,0
4,11,22,0,0,6,3,0,6,0,0
4,11,23,0,0,6,2,0,6,0,0
4,12,0,0,0,6,2,0,6,0,0
4,12,1,0,0,6,2,0,6,0,0
4,12,2,0,0,5,2,0,5,0,0
4,12,3,0,0,5,2,0,5,0,0
4,12,4,0,0,5,2,0,5,0,0
4,12,5,0,13,6,2,12.311,4.155,11.613,6.3
