PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,"02807, USA",,,,,,,,,
Location:,"Lat, Lon: 41.17, -71.58",,,,,,,,,
Lat (deg N):,41.17,,,,,,,,,
Long (deg W):,71.58,,,,,,,,,
Elev (m):,23,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.557,,,,,,,,,
Capacity Factor (%),"15.9	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,5,9,0,38,3,3,36.033,2.075,34.295,28.555
1,5,10,0,68,4,2,64.587,3.758,61.034,54.765
1,5,11,16,164,4,2,176.946,7.062,164.733,156.164
1,5,12,0,61,4,1,57.923,4.28,54.614,48.475
1,5,13,0,59,4,1,56.013,3.495,52.991,46.884
1,5,14,261,106,5,1,265.497,11.603,236.758,226.356
1,5,15,14,53,5,2,62.175,5.573,57.706,51.505
1,5,16,0,0,5,3,0,5,0,0
1,5,17,0,0,5,4,0,5,0,0
1,5,18,0,0,6,4,0,6,0,0
1,5,19,0,0,6,4,0,6,0,0
1,5,20,0,0,7,5,0,7,0,0
1,5,21,0,0,7,5,0,7,0,0
1,5,22,0,0,8,5,0,8,0,0
1,5,23,0,0,8,5,0,8,0,0
1,6,0,0,0,8,5,0,8,0,0
1,6,1,0,0,8,5,0,8,0,0
1,6,2,0,0,9,5,0,9,0,0
1,6,3,0,0,9,5,0,9,0,0
1,6,4,0,0,9,6,0,9,0,0
1,6,5,0,0,9,6,0,9,0,0
1,6,6,0,0,10,6,0,10,0,0
1,6,7,0,9,10,6,8.517,8.888,7.872,2.627
1,6,8,0,52,10,7,50.632,9.684,46.634,40.653
1,6,9,0,55,10,7,52.206,9.755,48.069,42.06
1,6,10,0,90,10,6,86.583,10.34,79.518,72.868
1,6,11,0,63,9,6,59.829,8.902,55.294,49.141
1,6,12,0,126,8,5,123.865,9.105,114.376,106.974
1,6,13,0,109,7,5,106.92,7.87,99.262,92.192
1,6,14,0,54,6,6,51.257,5.755,48.024,42.015
1,6,15,0,19,5,6,17.992,4.085,16.979,11.566
1,6,16,0,0,4,6,0,4,0,0
1,6,17,0,0,4,6,0,4,0,0
1,6,18,0,0,3,7,0,3,0,0
1,6,19,0,0,2,7,0,2,0,0
1,6,20,0,0,1,7,0,1,0,0
1,6,21,0,0,0,7,0,0,0,0
1,6,22,0,0,0,7,0,0,0,0
1,6,23,0,0,0,7,0,0,0,0
1,7,0,0,0,0,8,0,0,0,0
1,7,1,0,0,-1,9,0,-1,0,0
1,7,2,0,0,-2,10,0,-2,0,0
1,7,3,0,0,-4,10,0,-4,0,0
1,7,4,0,0,-6,10,0,-6,0,0
1,7,5,0,0,-7,10,0,-7,0,0
1,7,6,0,0,-8,9,0,-8,0,0
1,7,7,172,18,-8,9,72.155,-8.028,61.484,55.206
1,7,8,268,71,-8,9,204.542,-6.176,191.313,182.09
1,7,9,770,73,-8,9,536.506,-1.56,503.592,484.718
1,7,10,92,171,-8,9,246.729,-5.253,241.142,230.622
1,7,11,591,122,-8,9,588.714,-0.817,562.824,541.711
1,7,12,328,173,-8,8,440.357,-2.101,423.978,407.909
1,7,13,488,120,-8,8,470.914,-1.784,449.656,432.709
1,7,14,623,63,-8,8,420.654,-2.496,393.939,378.867
1,7,15,33,57,-8,8,73.933,-7.636,71.814,65.325
1,7,16,0,0,-8,9,0,-8,0,0
1,7,17,0,0,-8,8,0,-8,0,0
1,7,18,0,0,-8,8,0,-8,0,0
1,7,19,0,0,-8,7,0,-8,0,0
1,7,20,0,0,-8,7,0,-8,0,0
1,7,21,0,0,-8,7,0,-8,0,0
1,7,22,0,0,-8,7,0,-8,0,0
1,7,23,0,0,-8,7,0,-8,0,0
1,8,0,0,0,-8,7,0,-8,0,0
1,8,1,0,0,-8,7,0,-8,0,0
1,8,2,0,0,-8,7,0,-8,0,0
1,8,3,0,0,-8,6,0,-8,0,0
1,8,4,0,0,-8,6,0,-8,0,0
1,8,5,0,0,-8,5,0,-8,0,0
1,8,6,0,0,-8,5,0,-8,0,0
1,8,7,294,15,-7,5,97.79,-6.576,79.253,72.609
1,8,8,688,44,-6,4,345.303,0.241,305.762,293.423
1,8,9,372,109,-5,4,349.662,1.887,325.979,313.039
1,8,10,441,136,-5,4,468.705,4.552,436.888,420.38
1,8,11,348,173,-4,4,457.418,5.561,426.44,410.288
1,8,12,901,68,-3,4,736.414,12.71,662.739,637.552
1,8,13,435,130,-3,5,448.947,5.587,415.91,400.112
1,8,14,291,107,-3,5,284.113,1.863,264.219,253.067
1,8,15,570,42,-3,5,273.749,1.382,237.331,226.914
1,8,16,0,0,-3,6,0,-3,0,0
1,8,17,0,0,-3,5,0,-3,0,0
1,8,18,0,0,-3,5,0,-3,0,0
1,8,19,0,0,-3,5,0,-3,0,0
1,8,20,0,0,-3,5,0,-3,0,0
1,8,21,0,0,-3,5,0,-3,0,0
1,8,22,0,0,-3,5,0,-3,0,0
1,8,23,0,0,-3,5,0,-3,0,0
1,9,0,0,0,-3,5,0,-3,0,0
1,9,1,0,0,-3,5,0,-3,0,0
1,9,2,0,0,-3,5,0,-3,0,0
1,9,3,0,0,-3,6,0,-3,0,0
1,9,4,0,0,-3,6,0,-3,0,0
1,9,5,0,0,-3,6,0,-3,0,0
1,9,6,0,0,-3,5,0,-3,0,0
1,9,7,151,17,-3,5,65.533,-3.208,55.031,48.884
1,9,8,573,57,-2,5,315.075,2.832,277.964,266.427
1,9,9,762,72,-1,4,528.149,9.787,472.242,454.501
1,9,10,878,72,-1,3,690.533,15.599,610.997,587.967
1,9,11,912,74,-1,3,764.386,17.793,672.916,647.293
1,9,12,912,73,0,3,757.446,18.783,663.464,638.247
1,9,13,879,67,0,2,669.043,19.047,581.502,559.656
1,9,14,797,58,0,2,508.805,14.467,442.314,425.62
1,9,15,619,41,0,2,289.398,7.892,243.523,232.939
1,9,16,0,0,-1,1,0,-1,0,0
