C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4005_20190801_20190831.csv
C,Time period: 2019-08-01 to 2019-08-31
C,Location/Node: .Z.RHODEISLAND
C,Report generated 2020-05-10 09:33:13 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2019-08-01,01,1090.7,1009.4
D,2019-08-01,02,1033.7,956.4
D,2019-08-01,03,968.9,916.8
D,2019-08-01,04,945.7,894.4
D,2019-08-01,05,949.4,891.2
D,2019-08-01,06,986.6,921.4
D,2019-08-01,07,1051.5,986.6
D,2019-08-01,08,1156.2,1077.3
D,2019-08-01,09,1228.3,1146.1
D,2019-08-01,10,1288.9,1220.1
D,2019-08-01,11,1371.2,1290.1
D,2019-08-01,12,1387.5,1352.6
D,2019-08-01,13,1418.4,1399.3
D,2019-08-01,14,1482.3,1441.4
D,2019-08-01,15,1515.6,1480.3
D,2019-08-01,16,1509.2,1509.5
D,2019-08-01,17,1542.6,1519.4
D,2019-08-01,18,1551.7,1510.1
D,2019-08-01,19,1521.6,1466.2
D,2019-08-01,20,1472.6,1386.8
D,2019-08-01,21,1424.1,1325.3
D,2019-08-01,22,1354.7,1242.9
D,2019-08-01,23,1204.2,1121.7
D,2019-08-01,24,1081.4,1005.7
D,2019-08-02,01,928.6,913.6
D,2019-08-02,02,882.3,858.1
D,2019-08-02,03,832.8,815.3
D,2019-08-02,04,820.0,791.0
D,2019-08-02,05,820.3,786.3
D,2019-08-02,06,810.3,810.0
D,2019-08-02,07,901.1,874.3
D,2019-08-02,08,994.9,966.5
D,2019-08-02,09,1076.8,1036.0
D,2019-08-02,10,1174.5,1105.9
D,2019-08-02,11,1224.7,1172.9
D,2019-08-02,12,1287.6,1226.8
D,2019-08-02,13,1336.8,1264.8
D,2019-08-02,14,1377.1,1317.1
D,2019-08-02,15,1419.3,1364.5
D,2019-08-02,16,1418.8,1394.9
D,2019-08-02,17,1392.7,1412.1
D,2019-08-02,18,1387.5,1395.5
D,2019-08-02,19,1327.6,1344.1
D,2019-08-02,20,1299.7,1266.3
D,2019-08-02,21,1274.3,1220.2
D,2019-08-02,22,1177.4,1157.7
D,2019-08-02,23,1100.7,1057.9
D,2019-08-02,24,983.5,971.2
D,2019-08-03,01,910.8,899.8
D,2019-08-03,02,876.7,851.9
D,2019-08-03,03,826.2,820.3
D,2019-08-03,04,802.5,797.5
D,2019-08-03,05,797.3,785.8
D,2019-08-03,06,802.7,791.1
D,2019-08-03,07,828.8,823.2
D,2019-08-03,08,903.4,906.0
D,2019-08-03,09,1008.3,1000.3
D,2019-08-03,10,1103.4,1087.5
D,2019-08-03,11,1190.5,1164.5
D,2019-08-03,12,1236.1,1228.0
D,2019-08-03,13,1294.6,1280.8
D,2019-08-03,14,1338.9,1305.7
D,2019-08-03,15,1340.7,1340.3
D,2019-08-03,16,1424.3,1365.4
D,2019-08-03,17,1446.5,1388.7
