C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4005_20191101_20191130.csv
C,Time period: 2019-11-01 to 2019-11-30
C,Location/Node: .Z.RHODEISLAND
C,Report generated 2020-05-10 09:34:02 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2019-11-01,01,619.6,657.6
D,2019-11-01,02,642.5,627.4
D,2019-11-01,03,587.8,602.9
D,2019-11-01,04,584.1,586.6
D,2019-11-01,05,628.9,582.5
D,2019-11-01,06,637.6,608.7
D,2019-11-01,07,769.7,686.0
D,2019-11-01,08,838.9,739.9
D,2019-11-01,09,842.0,759.9
D,2019-11-01,10,838.1,775.1
D,2019-11-01,11,852.3,787.4
D,2019-11-01,12,812.3,797.0
D,2019-11-01,13,797.8,799.0
D,2019-11-01,14,779.4,799.8
D,2019-11-01,15,776.2,797.2
D,2019-11-01,16,776.4,801.4
D,2019-11-01,17,759.7,807.9
D,2019-11-01,18,798.5,829.5
D,2019-11-01,19,821.7,869.8
D,2019-11-01,20,841.2,853.6
D,2019-11-01,21,825.2,823.4
D,2019-11-01,22,795.7,782.7
D,2019-11-01,23,714.4,724.0
D,2019-11-01,24,653.9,681.0
D,2019-11-02,01,639.6,640.2
D,2019-11-02,02,635.4,610.5
D,2019-11-02,03,598.3,596.8
D,2019-11-02,04,629.8,592.2
D,2019-11-02,05,610.0,603.3
D,2019-11-02,06,646.6,628.8
D,2019-11-02,07,686.0,677.0
D,2019-11-02,08,775.8,721.4
D,2019-11-02,09,801.5,763.1
D,2019-11-02,10,804.5,791.1
D,2019-11-02,11,780.8,792.9
D,2019-11-02,12,749.8,790.4
D,2019-11-02,13,685.2,777.3
D,2019-11-02,14,698.6,772.0
D,2019-11-02,15,691.5,759.7
D,2019-11-02,16,691.3,758.4
D,2019-11-02,17,753.1,780.3
D,2019-11-02,18,822.7,820.6
D,2019-11-02,19,845.7,869.5
D,2019-11-02,20,826.7,852.3
D,2019-11-02,21,790.7,817.8
D,2019-11-02,22,769.2,777.8
