C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4005_20190601_20190630.csv
C,Time period: 2019-06-01 to 2019-06-30
C,Location/Node: .Z.RHODEISLAND
C,Report generated 2020-05-10 09:32:38 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2019-06-01,01,636.6,654.2
D,2019-06-01,02,596.3,627.7
D,2019-06-01,03,577.4,605.9
D,2019-06-01,04,581.2,593.0
D,2019-06-01,05,575.0,593.1
D,2019-06-01,06,587.2,596.9
D,2019-06-01,07,597.1,633.2
D,2019-06-01,08,664.8,682.3
D,2019-06-01,09,702.5,741.6
D,2019-06-01,10,767.1,786.5
D,2019-06-01,11,746.9,813.2
D,2019-06-01,12,803.2,830.0
D,2019-06-01,13,811.0,842.7
D,2019-06-01,14,796.0,856.8
D,2019-06-01,15,821.1,861.0
D,2019-06-01,16,832.3,852.8
D,2019-06-01,17,849.5,858.5
D,2019-06-01,18,844.4,857.3
D,2019-06-01,19,848.6,848.6
D,2019-06-01,20,833.8,830.1
D,2019-06-01,21,882.9,836.5
D,2019-06-01,22,797.8,808.2
D,2019-06-01,23,729.9,754.4
D,2019-06-01,24,671.0,688.8
D,2019-06-02,01,662.5,648.2
D,2019-06-02,02,626.9,613.2
D,2019-06-02,03,597.9,591.2
D,2019-06-02,04,590.4,579.2
D,2019-06-02,05,553.9,578.2
D,2019-06-02,06,553.5,574.2
D,2019-06-02,07,579.7,592.8
D,2019-06-02,08,624.9,640.7
D,2019-06-02,09,689.6,693.4
D,2019-06-02,10,742.2,733.7
D,2019-06-02,11,768.9,763.9
D,2019-06-02,12,794.4,779.7
D,2019-06-02,13,802.2,790.0
D,2019-06-02,14,806.0,802.6
D,2019-06-02,15,811.4,812.0
D,2019-06-02,16,841.5,824.2
D,2019-06-02,17,862.4,849.6
D,2019-06-02,18,867.3,866.9
D,2019-06-02,19,865.8,865.5
D,2019-06-02,20,858.3,863.2
D,2019-06-02,21,883.2,871.1
D,2019-06-02,22,806.0,837.4
D,2019-06-02,23,727.4,755.7
D,2019-06-02,24,660.8,695.7
D,2019-06-03,01,656.2,653.1
D,2019-06-03,02,625.7,614.8
D,2019-06-03,03,602.6,589.5
D,2019-06-03,04,566.9,583.9
D,2019-06-03,05,579.0,593.8
D,2019-06-03,06,585.1,634.9
D,2019-06-03,07,744.6,717.5
D,2019-06-03,08,792.6,781.9
D,2019-06-03,09,800.8,812.3
D,2019-06-03,10,803.4,840.0
D,2019-06-03,11,823.1,862.3
D,2019-06-03,12,836.1,873.1
D,2019-06-03,13,848.0,873.7
D,2019-06-03,14,849.3,884.5
D,2019-06-03,15,818.7,879.0
D,2019-06-03,16,845.8,884.6
D,2019-06-03,17,854.2,893.4
D,2019-06-03,18,857.5,893.3
D,2019-06-03,19,865.3,888.1
D,2019-06-03,20,874.8,869.6
D,2019-06-03,21,883.1,861.5
D,2019-06-03,22,841.7,820.4
D,2019-06-03,23,726.3,739.1
D,2019-06-03,24,651.7,672.3
D,2019-06-04,01,648.3,617.0
D,2019-06-04,02,622.1,587.4
D,2019-06-04,03,583.5,573.6
D,2019-06-04,04,573.4,569.2
D,2019-06-04,05,587.0,582.7
D,2019-06-04,06,618.5,619.0
D,2019-06-04,07,749.1,703.4
D,2019-06-04,08,820.5,769.6
D,2019-06-04,09,817.3,804.9
D,2019-06-04,10,827.5,826.8
D,2019-06-04,11,828.6,844.5
D,2019-06-04,12,862.5,859.7
D,2019-06-04,13,860.2,861.5
D,2019-06-04,14,882.5,866.5
D,2019-06-04,15,869.4,866.5
D,2019-06-04,16,892.6,868.1
D,2019-06-04,17,907.8,878.9
D,2019-06-04,18,883.2,883.8
D,2019-06-04,19,903.0,870.5
D,2019-06-04,20,900.1,860.7
D,2019-06-04,21,879.4,862.7
D,2019-06-04,22,862.6,827.1
D,2019-06-04,23,757.5,751.3
D,2019-06-04,24,675.4,679.1
D,2019-06-05,01,631.3,631.3
D,2019-06-05,02,537.9,604.9
D,2019-06-05,03,537.1,589.7
D,2019-06-05,04,531.1,585.5
D,2019-06-05,05,525.6,602.3
D,2019-06-05,06,584.9,637.4
D,2019-06-05,07,697.4,727.4
D,2019-06-05,08,860.5,802.6
D,2019-06-05,09,874.6,850.7
D,2019-06-05,10,887.9,878.5
D,2019-06-05,11,929.7,900.3
D,2019-06-05,12,915.0,920.6
D,2019-06-05,13,945.3,940.4
D,2019-06-05,14,985.5,971.4
D,2019-06-05,15,980.5,986.8
D,2019-06-05,16,988.2,996.0
D,2019-06-05,17,1018.3,996.3
D,2019-06-05,18,991.1,986.9
D,2019-06-05,19,1006.6,968.9
D,2019-06-05,20,999.2,955.9
D,2019-06-05,21,998.7,958.1
D,2019-06-05,22,974.0,915.6
D,2019-06-05,23,844.0,832.5
D,2019-06-05,24,744.0,760.9
D,2019-06-06,01,763.5,708.3
D,2019-06-06,02,725.4,683.9
D,2019-06-06,03,704.7,667.3
D,2019-06-06,04,688.9,655.9
D,2019-06-06,05,667.9,669.0
D,2019-06-06,06,696.9,709.4
D,2019-06-06,07,826.4,793.9
D,2019-06-06,08,906.0,873.7
D,2019-06-06,09,929.0,924.1
D,2019-06-06,10,950.9,963.0
D,2019-06-06,11,936.3,1000.1
D,2019-06-06,12,1003.9,1032.5
D,2019-06-06,13,968.2,1059.8
D,2019-06-06,14,1033.0,1071.1
D,2019-06-06,15,1040.0,1067.7
D,2019-06-06,16,1068.9,1079.8
D,2019-06-06,17,1038.7,1078.6
D,2019-06-06,18,1097.1,1071.7
D,2019-06-06,19,1083.4,1045.7
D,2019-06-06,20,1045.6,1011.7
D,2019-06-06,21,1052.7,988.7
D,2019-06-06,22,956.8,948.1
D,2019-06-06,23,849.9,863.1
D,2019-06-06,24,765.2,785.2
D,2019-06-07,01,684.3,710.0
D,2019-06-07,02,624.7,679.0
D,2019-06-07,03,633.3,654.5
D,2019-06-07,04,629.8,644.1
D,2019-06-07,05,633.8,650.2
D,2019-06-07,06,649.4,683.3
D,2019-06-07,07,731.4,766.4
D,2019-06-07,08,829.4,843.9
D,2019-06-07,09,902.5,893.5
D,2019-06-07,10,918.7,942.8
D,2019-06-07,11,946.9,978.4
D,2019-06-07,12,953.3,1002.2
D,2019-06-07,13,965.7,1015.0
D,2019-06-07,14,979.3,1039.5
D,2019-06-07,15,1000.7,1053.1
D,2019-06-07,16,993.0,1052.7
D,2019-06-07,17,1019.0,1028.7
D,2019-06-07,18,1047.0,999.3
D,2019-06-07,19,1021.4,970.1
D,2019-06-07,20,971.3,934.9
D,2019-06-07,21,980.9,923.5
D,2019-06-07,22,941.7,899.0
D,2019-06-07,23,826.0,822.0
D,2019-06-07,24,749.9,749.2
D,2019-06-08,01,672.5,696.5
D,2019-06-08,02,637.3,656.0
D,2019-06-08,03,624.7,629.9
D,2019-06-08,04,605.4,614.6
D,2019-06-08,05,587.5,611.2
D,2019-06-08,06,598.4,612.2
D,2019-06-08,07,630.1,661.9
D,2019-06-08,08,691.8,724.8
D,2019-06-08,09,756.2,784.9
