C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4005_20190301_20190331.csv
C,Time period: 2019-03-01 to 2019-03-31
C,Location/Node: .Z.RHODEISLAND
C,Report generated 2020-05-10 09:32:11 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2019-03-01,01,764.8,811.5
D,2019-03-01,02,761.8,784.8
D,2019-03-01,03,748.8,775.4
D,2019-03-01,04,756.1,776.1
D,2019-03-01,05,759.1,794.0
D,2019-03-01,06,811.5,849.6
D,2019-03-01,07,1026.8,942.3
D,2019-03-01,08,1043.9,1006.0
D,2019-03-01,09,1042.8,1019.1
D,2019-03-01,10,1038.0,1013.8
D,2019-03-01,11,1019.1,1002.6
D,2019-03-01,12,957.7,989.5
D,2019-03-01,13,938.6,965.8
D,2019-03-01,14,918.9,948.9
D,2019-03-01,15,907.5,936.6
D,2019-03-01,16,898.8,936.6
D,2019-03-01,17,943.1,960.1
D,2019-03-01,18,1004.6,1005.4
D,2019-03-01,19,1036.6,1028.6
D,2019-03-01,20,977.0,1007.6
D,2019-03-01,21,997.5,972.0
D,2019-03-01,22,911.7,930.2
D,2019-03-01,23,860.1,872.5
D,2019-03-01,24,792.3,814.3
D,2019-03-02,01,780.3,764.7
D,2019-03-02,02,754.4,737.5
D,2019-03-02,03,747.4,725.1
D,2019-03-02,04,734.3,722.7
D,2019-03-02,05,691.2,729.4
D,2019-03-02,06,710.4,751.1
D,2019-03-02,07,758.8,791.8
D,2019-03-02,08,829.8,835.0
D,2019-03-02,09,883.6,890.6
D,2019-03-02,10,920.2,941.2
D,2019-03-02,11,947.5,974.7
D,2019-03-02,12,979.2,977.4
D,2019-03-02,13,948.5,971.9
D,2019-03-02,14,942.8,972.6
D,2019-03-02,15,929.3,962.5
D,2019-03-02,16,915.6,958.7
D,2019-03-02,17,937.0,968.1
D,2019-03-02,18,965.2,998.7
D,2019-03-02,19,1013.8,1020.1
D,2019-03-02,20,934.5,989.7
D,2019-03-02,21,911.5,952.1
D,2019-03-02,22,853.5,903.8
D,2019-03-02,23,792.5,853.8
D,2019-03-02,24,741.2,798.1
D,2019-03-03,01,753.4,754.4
D,2019-03-03,02,711.4,730.5
D,2019-03-03,03,699.5,715.2
D,2019-03-03,04,699.7,709.4
D,2019-03-03,05,693.3,714.0
D,2019-03-03,06,727.0,730.2
D,2019-03-03,07,745.1,755.2
D,2019-03-03,08,738.8,785.9
D,2019-03-03,09,779.7,816.0
D,2019-03-03,10,858.0,841.0
D,2019-03-03,11,886.8,850.9
D,2019-03-03,12,906.8,848.8
