C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4005_20191001_20191031.csv
C,Time period: 2019-10-01 to 2019-10-31
C,Location/Node: .Z.RHODEISLAND
C,Report generated 2020-05-10 09:33:45 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2019-10-01,01,619.7,626.2
D,2019-10-01,02,606.4,613.8
D,2019-10-01,03,591.6,595.7
D,2019-10-01,04,594.0,592.7
D,2019-10-01,05,603.6,607.1
D,2019-10-01,06,609.9,657.9
D,2019-10-01,07,760.2,749.0
D,2019-10-01,08,854.2,809.9
D,2019-10-01,09,895.4,845.2
D,2019-10-01,10,919.2,875.2
D,2019-10-01,11,941.7,895.2
D,2019-10-01,12,940.3,907.8
D,2019-10-01,13,937.6,913.5
D,2019-10-01,14,961.1,920.0
D,2019-10-01,15,964.4,920.4
D,2019-10-01,16,959.9,907.6
D,2019-10-01,17,979.4,919.9
D,2019-10-01,18,983.3,935.1
D,2019-10-01,19,1015.7,960.3
D,2019-10-01,20,992.4,971.5
D,2019-10-01,21,927.0,929.2
D,2019-10-01,22,882.2,870.5
D,2019-10-01,23,794.3,798.9
D,2019-10-01,24,735.9,741.6
D,2019-10-02,01,746.6,694.0
D,2019-10-02,02,718.6,669.8
D,2019-10-02,03,705.1,658.9
D,2019-10-02,04,687.3,659.7
D,2019-10-02,05,703.1,668.1
D,2019-10-02,06,738.5,723.3
D,2019-10-02,07,845.2,824.8
D,2019-10-02,08,962.7,896.0
D,2019-10-02,09,995.5,943.7
D,2019-10-02,10,1039.7,1006.4
D,2019-10-02,11,1137.5,1044.3
D,2019-10-02,12,1166.6,1062.5
D,2019-10-02,13,1165.7,1060.5
D,2019-10-02,14,1164.8,1072.7
D,2019-10-02,15,1166.3,1101.1
D,2019-10-02,16,1133.7,1105.6
D,2019-10-02,17,1135.4,1079.8
D,2019-10-02,18,1135.0,1044.4
D,2019-10-02,19,1107.3,1030.3
D,2019-10-02,20,1078.9,1005.8
D,2019-10-02,21,986.2,949.3
D,2019-10-02,22,928.5,875.9
D,2019-10-02,23,765.2,786.6
D,2019-10-02,24,700.3,706.7
D,2019-10-03,01,644.8,653.5
D,2019-10-03,02,622.2,622.8
D,2019-10-03,03,612.2,601.6
D,2019-10-03,04,600.6,595.5
D,2019-10-03,05,597.1,604.0
D,2019-10-03,06,627.7,646.4
D,2019-10-03,07,771.3,733.8
D,2019-10-03,08,847.5,792.0
D,2019-10-03,09,898.8,818.9
D,2019-10-03,10,907.3,837.0
D,2019-10-03,11,974.6,852.0
D,2019-10-03,12,979.0,855.6
D,2019-10-03,13,972.6,850.3
D,2019-10-03,14,938.3,854.2
D,2019-10-03,15,923.4,848.3
D,2019-10-03,16,909.2,834.8
D,2019-10-03,17,910.9,840.8
D,2019-10-03,18,952.8,857.0
D,2019-10-03,19,946.8,893.4
D,2019-10-03,20,945.1,889.6
D,2019-10-03,21,873.3,852.0
D,2019-10-03,22,813.1,797.2
D,2019-10-03,23,734.4,728.7
D,2019-10-03,24,679.1,664.4
D,2019-10-04,01,626.3,621.8
D,2019-10-04,02,621.4,592.8
D,2019-10-04,03,595.5,580.6
D,2019-10-04,04,576.6,578.4
D,2019-10-04,05,584.0,591.4
D,2019-10-04,06,624.0,639.2
D,2019-10-04,07,760.0,726.6
D,2019-10-04,08,847.3,783.0
D,2019-10-04,09,867.8,813.2
D,2019-10-04,10,879.3,847.2
D,2019-10-04,11,880.1,857.1
D,2019-10-04,12,891.5,860.8
D,2019-10-04,13,871.7,849.9
D,2019-10-04,14,869.5,843.4
D,2019-10-04,15,862.8,827.9
D,2019-10-04,16,824.1,818.4
D,2019-10-04,17,804.9,818.2
D,2019-10-04,18,817.2,825.8
D,2019-10-04,19,839.4,847.2
D,2019-10-04,20,858.0,855.8
D,2019-10-04,21,815.5,820.0
D,2019-10-04,22,765.9,776.1
D,2019-10-04,23,704.3,717.8
D,2019-10-04,24,658.2,657.4
D,2019-10-05,01,635.4,602.7
D,2019-10-05,02,618.3,591.4
D,2019-10-05,03,577.6,575.9
D,2019-10-05,04,605.0,569.9
D,2019-10-05,05,597.7,575.3
D,2019-10-05,06,589.3,595.5
D,2019-10-05,07,695.1,638.4
D,2019-10-05,08,737.7,685.6
D,2019-10-05,09,746.0,735.2
D,2019-10-05,10,812.0,762.3
D,2019-10-05,11,791.2,770.9
D,2019-10-05,12,786.5,766.8
D,2019-10-05,13,779.3,748.9
D,2019-10-05,14,774.6,746.3
D,2019-10-05,15,767.8,738.6
D,2019-10-05,16,784.5,734.2
D,2019-10-05,17,770.7,750.3
D,2019-10-05,18,790.6,771.2
D,2019-10-05,19,845.6,799.5
D,2019-10-05,20,854.0,808.8
D,2019-10-05,21,810.6,780.6
D,2019-10-05,22,782.9,743.5
D,2019-10-05,23,730.4,696.5
D,2019-10-05,24,680.1,646.7
D,2019-10-06,01,631.4,606.3
D,2019-10-06,02,602.1,581.9
D,2019-10-06,03,584.8,565.7
D,2019-10-06,04,599.8,557.5
D,2019-10-06,05,577.7,558.8
D,2019-10-06,06,517.1,572.1
D,2019-10-06,07,572.9,600.4
D,2019-10-06,08,653.2,638.9
D,2019-10-06,09,679.7,685.1
D,2019-10-06,10,705.3,716.1
D,2019-10-06,11,762.2,741.5
D,2019-10-06,12,764.4,767.9
D,2019-10-06,13,776.9,783.2
D,2019-10-06,14,761.2,795.3
D,2019-10-06,15,757.5,789.1
D,2019-10-06,16,758.2,789.9
D,2019-10-06,17,777.3,808.0
D,2019-10-06,18,826.7,829.4
D,2019-10-06,19,903.2,860.4
D,2019-10-06,20,868.0,867.3
D,2019-10-06,21,819.8,830.9
D,2019-10-06,22,768.0,777.7
D,2019-10-06,23,696.1,713.7
D,2019-10-06,24,645.9,655.4
D,2019-10-07,01,647.8,621.7
D,2019-10-07,02,600.7,598.0
D,2019-10-07,03,592.8,586.3
D,2019-10-07,04,598.6,585.1
D,2019-10-07,05,597.0,601.0
D,2019-10-07,06,608.1,657.3
D,2019-10-07,07,734.0,753.4
D,2019-10-07,08,870.0,817.0
D,2019-10-07,09,873.7,856.1
D,2019-10-07,10,908.7,885.4
D,2019-10-07,11,1001.4,903.1
D,2019-10-07,12,982.0,926.7
D,2019-10-07,13,979.3,938.9
D,2019-10-07,14,983.4,955.1
D,2019-10-07,15,985.7,955.5
D,2019-10-07,16,972.0,957.4
D,2019-10-07,17,943.6,954.8
D,2019-10-07,18,971.8,961.4
D,2019-10-07,19,1007.5,994.9
D,2019-10-07,20,984.4,990.8
D,2019-10-07,21,901.0,945.8
D,2019-10-07,22,848.3,883.5
D,2019-10-07,23,764.3,797.8
D,2019-10-07,24,702.6,714.9
D,2019-10-08,01,664.5,659.0
D,2019-10-08,02,610.3,638.6
D,2019-10-08,03,604.7,618.6
D,2019-10-08,04,614.0,612.3
D,2019-10-08,05,595.8,614.8
D,2019-10-08,06,623.5,657.1
D,2019-10-08,07,804.3,746.9
D,2019-10-08,08,870.4,805.2
D,2019-10-08,09,894.2,838.1
D,2019-10-08,10,856.9,859.3
D,2019-10-08,11,881.6,872.6
D,2019-10-08,12,878.6,880.4
D,2019-10-08,13,864.0,874.0
D,2019-10-08,14,877.1,873.1
D,2019-10-08,15,852.6,868.0
D,2019-10-08,16,877.1,867.3
D,2019-10-08,17,894.0,870.5
D,2019-10-08,18,894.9,886.2
D,2019-10-08,19,1017.9,914.9
D,2019-10-08,20,965.3,908.8
D,2019-10-08,21,914.5,865.5
D,2019-10-08,22,828.4,806.3
D,2019-10-08,23,751.0,735.8
D,2019-10-08,24,672.6,670.2
D,2019-10-09,01,644.5,626.0
D,2019-10-09,02,577.2,598.9
D,2019-10-09,03,497.6,586.0
D,2019-10-09,04,472.5,581.1
D,2019-10-09,05,507.1,594.7
D,2019-10-09,06,641.6,642.9
D,2019-10-09,07,782.9,732.8
D,2019-10-09,08,866.5,796.1
D,2019-10-09,09,819.8,831.3
D,2019-10-09,10,884.7,859.7
D,2019-10-09,11,886.2,879.7
D,2019-10-09,12,890.0,889.5
D,2019-10-09,13,884.6,890.4
D,2019-10-09,14,895.7,891.2
D,2019-10-09,15,894.0,887.3
D,2019-10-09,16,879.5,878.8
D,2019-10-09,17,888.5,892.2
D,2019-10-09,18,911.3,912.3
D,2019-10-09,19,1004.1,933.7
D,2019-10-09,20,976.6,916.0
D,2019-10-09,21,887.9,874.2
D,2019-10-09,22,842.4,818.2
D,2019-10-09,23,761.2,743.8
D,2019-10-09,24,679.8,672.2
D,2019-10-10,01,629.2,624.9
D,2019-10-10,02,603.2,604.4
D,2019-10-10,03,613.4,590.1
D,2019-10-10,04,590.7,587.8
D,2019-10-10,05,599.0,600.4
D,2019-10-10,06,579.1,653.0
D,2019-10-10,07,738.5,747.1
D,2019-10-10,08,857.2,808.1
D,2019-10-10,09,832.8,836.5
D,2019-10-10,10,847.4,855.0
D,2019-10-10,11,930.5,875.8
D,2019-10-10,12,902.0,886.6
D,2019-10-10,13,896.7,885.1
D,2019-10-10,14,899.7,887.0
D,2019-10-10,15,899.3,876.1
D,2019-10-10,16,877.7,878.0
D,2019-10-10,17,867.5,895.0
D,2019-10-10,18,950.7,910.6
D,2019-10-10,19,983.3,931.3
D,2019-10-10,20,920.0,923.1
D,2019-10-10,21,892.4,883.2
D,2019-10-10,22,850.3,825.3
D,2019-10-10,23,755.8,757.5
D,2019-10-10,24,685.9,687.5
D,2019-10-11,01,610.8,635.7
D,2019-10-11,02,600.5,612.4
D,2019-10-11,03,599.2,595.8
D,2019-10-11,04,586.2,592.5
D,2019-10-11,05,596.9,604.9
D,2019-10-11,06,586.6,654.9
D,2019-10-11,07,755.1,742.1
D,2019-10-11,08,861.8,801.0
D,2019-10-11,09,837.3,835.1
D,2019-10-11,10,860.0,860.9
D,2019-10-11,11,926.1,878.5
D,2019-10-11,12,928.7,887.4
D,2019-10-11,13,914.1,885.7
